seq,compact_machine_id,compact_machine_label,type,op,start,end,duration,original_machine_id,original_machine_label,original_type,changeover_time_feature
1,1,M1,1,1,12.0,87.0,75.0,1,M1,1,0.0
2,1,M1,1,1,87.0,162.0,75.0,1,M1,1,7.0
3,1,M1,1,1,162.0,237.0,75.0,1,M1,1,7.0
4,1,M1,1,1,237.0,312.0,75.0,1,M1,1,7.0
5,1,M1,1,1,312.0,387.0,75.0,1,M1,1,7.0
6,1,M1,0,4,389.0,480.0,91.0,1,M1,0,7.0
7,1,M1,1,4,480.0,555.0,75.0,1,M1,1,6.0
8,1,M1,0,4,555.0,646.0,91.0,1,M1,0,7.0
9,1,M1,0,4,651.0,742.0,91.0,1,M1,0,7.0
10,2,M2,1,3,202.0,248.0,46.0,2,M2,1,0.0
11,2,M2,1,3,277.0,323.0,46.0,2,M2,1,19.0
12,2,M2,1,3,352.0,398.0,46.0,2,M2,1,19.0
13,2,M2,1,3,427.0,473.0,46.0,2,M2,1,19.0
14,2,M2,1,5,492.0,574.0,82.0,2,M2,1,19.0
15,2,M2,1,3,574.0,620.0,46.0,2,M2,1,19.0
16,2,M2,1,5,620.0,702.0,82.0,2,M2,1,19.0
17,2,M2,1,7,716.0,873.0,157.0,2,M2,1,19.0
18,2,M2,1,7,873.0,1030.0,157.0,2,M2,1,19.0
19,3,M3,1,6,452.0,510.0,58.0,3,M3,1,0.0
20,3,M3,0,6,566.0,658.0,92.0,3,M3,0,0.0
21,3,M3,1,6,658.0,716.0,58.0,3,M3,1,0.0
22,3,M3,1,6,716.0,774.0,58.0,3,M3,1,0.0
23,3,M3,1,6,774.0,832.0,58.0,3,M3,1,0.0
24,3,M3,0,6,832.0,924.0,92.0,3,M3,0,0.0
25,3,M3,1,6,924.0,982.0,58.0,3,M3,1,0.0
26,4,M4,0,7,574.0,733.0,159.0,4,M4,0,0.0
27,4,M4,0,7,760.0,919.0,159.0,4,M4,0,13.0
28,4,M4,0,7,924.0,1083.0,159.0,4,M4,0,13.0
29,5,M5,0,4,241.0,397.0,156.0,5,M5,0,0.0
30,5,M5,0,4,427.0,583.0,156.0,5,M5,0,12.0
31,5,M5,0,4,613.0,769.0,156.0,5,M5,0,12.0
32,6,M6,0,0,0.0,74.0,74.0,6,M6,0,0.0
33,6,M6,0,0,74.0,148.0,74.0,6,M6,0,2.0
34,6,M6,0,0,148.0,222.0,74.0,6,M6,0,2.0
35,6,M6,0,0,222.0,296.0,74.0,6,M6,0,2.0
36,6,M6,0,0,296.0,370.0,74.0,6,M6,0,2.0
