kind,task,machine_selectable,process_time
0,0,"(8, 3, 5, 0, 1, 9, 4, 7, 17, 11, 2, 10, 18, 19, 6, 15, 12)","(20, 2, 15, 11, 6, 10, 18, 3, 15, 17, 6, 20, 2, 3, 1, 20, 7)"
0,1,"(2, 1, 9, 4, 3, 10, 8, 12, 5, 14, 16, 19, 17)","(13, 8, 12, 12, 18, 5, 17, 12, 12, 14, 12, 3, 19)"
0,2,"(4, 0, 3)","(4, 6, 1)"
0,3,"(10, 4, 3, 18, 5, 0, 15, 8, 11, 12, 7, 16, 6, 2, 1, 17, 9)","(7, 4, 1, 4, 8, 8, 14, 18, 19, 2, 6, 12, 13, 20, 11, 20, 5)"
0,4,"(5, 16, 14, 3, 2, 19, 12, 10, 0)","(14, 4, 17, 2, 3, 3, 4, 19, 18)"
0,5,"(15, 8, 10, 6, 7, 12, 4, 17, 11, 0, 14, 3, 5, 9, 2)","(18, 4, 3, 3, 19, 14, 17, 19, 17, 14, 2, 16, 6, 5, 5)"
0,6,"(18, 12, 1, 4)","(12, 10, 9, 18)"
0,7,"(2, 1, 17, 18, 9, 16)","(14, 7, 9, 12, 13, 11)"
1,0,"(19, 11, 1, 17, 8, 2, 10, 3, 13, 15, 16, 7, 18, 9, 14, 4, 0, 6, 5, 12)","(4, 2, 19, 12, 20, 11, 5, 20, 7, 1, 5, 15, 16, 6, 10, 14, 20, 11, 20, 15)"
1,1,"(11, 13, 18, 0, 7, 17, 6, 8, 19)","(20, 6, 18, 1, 11, 7, 11, 4, 8)"
1,2,"(0, 9, 8, 19, 14, 6, 12, 16, 3, 7, 5, 18, 13, 4, 11, 2)","(16, 12, 8, 18, 1, 19, 2, 15, 8, 12, 11, 3, 2, 7, 3, 20)"
1,3,"(14, 7, 18, 16, 3, 15, 9, 17, 10, 8, 0, 2, 13, 4, 12, 6, 11, 19)","(19, 7, 15, 19, 1, 6, 15, 16, 13, 16, 19, 4, 17, 13, 6, 15, 17, 20)"
1,4,"(19, 14, 2, 7, 1, 4, 18)","(3, 5, 20, 6, 9, 9, 16)"
1,5,"(6, 8, 13, 1, 0, 16, 11, 2, 12, 7, 15, 10, 3, 4, 5, 14)","(12, 18, 19, 13, 10, 13, 3, 14, 16, 4, 16, 8, 20, 5, 16, 17)"
1,6,"(1, 5, 16, 0, 10, 13, 19, 11, 7, 4, 18, 12, 17, 14, 2, 3)","(19, 9, 4, 8, 15, 4, 18, 1, 6, 10, 6, 10, 12, 7, 9, 9)"
1,7,"(7, 4, 1, 17, 15, 11, 13, 9, 8, 0, 16, 14, 12, 3, 18, 5, 6, 10, 19)","(14, 11, 13, 17, 8, 11, 18, 8, 20, 4, 1, 13, 18, 10, 4, 9, 2, 12, 14)"
1,8,"(11, 18, 17)","(20, 12, 14)"
1,9,"(9, 2, 14, 13, 6, 8, 0, 11)","(13, 14, 5, 5, 18, 15, 13, 20)"
2,0,"(14, 19, 18, 8, 2, 13, 3, 1, 5, 17)","(6, 4, 16, 1, 9, 5, 19, 1, 3, 6)"
2,1,"(7, 18, 4, 6, 0, 13, 8, 14, 1, 2, 15)","(17, 15, 1, 10, 7, 14, 12, 18, 2, 7, 6)"
2,2,"(15, 8, 2, 19)","(15, 9, 2, 11)"
2,3,"(19, 10, 3, 15, 18, 11, 2, 7, 5, 1, 17, 8, 4, 14)","(17, 18, 14, 20, 15, 7, 10, 9, 3, 11, 7, 16, 19, 20)"
2,4,"(17, 4, 13)","(13, 16, 3)"
3,0,"(13, 9, 6, 14, 18, 12, 10, 8, 19, 7, 17, 0, 3, 11)","(10, 2, 6, 11, 16, 17, 3, 20, 2, 2, 20, 10, 12, 6)"
3,1,"(13, 14, 3, 6, 11)","(15, 20, 10, 2, 6)"
3,2,"(3, 14, 18, 0, 1, 5, 7, 19, 17, 2, 13, 15, 8, 12, 10, 16, 9, 6)","(7, 17, 1, 17, 12, 2, 16, 9, 20, 19, 15, 5, 13, 7, 16, 19, 2, 3)"
3,3,"(2, 17, 19, 10, 15, 5, 11, 7, 8, 9, 16, 6, 3)","(8, 6, 8, 7, 3, 18, 2, 4, 4, 19, 6, 5, 12)"
3,4,"(6, 12, 7, 3, 9, 16, 1, 15, 2, 10, 13, 17, 0, 8, 14, 19, 5)","(8, 13, 8, 13, 14, 4, 18, 11, 6, 10, 10, 2, 17, 12, 6, 10, 17)"
3,5,"(6, 7, 0, 11, 5, 10, 13)","(4, 12, 13, 3, 4, 9, 20)"
4,0,"(10, 16, 5, 2, 3, 12, 9, 14, 6, 18, 17, 0, 7, 11)","(4, 6, 14, 1, 15, 16, 2, 12, 16, 13, 9, 6, 9, 16)"
4,1,"(9, 12, 7, 2, 13, 5, 3, 1, 19, 17)","(3, 4, 16, 18, 3, 9, 3, 7, 10, 17)"
4,2,"(16, 10, 18, 3, 8, 11, 2, 17, 19, 0, 12, 13, 7, 15, 9)","(5, 15, 3, 10, 18, 6, 5, 12, 20, 2, 16, 2, 13, 16, 3)"
4,3,"(16, 0, 5, 18, 10, 13, 17, 7, 6, 8, 11, 2, 3, 12, 15, 14, 19, 4, 9)","(13, 1, 5, 13, 12, 5, 4, 20, 4, 16, 4, 7, 8, 12, 3, 2, 11, 7, 9)"
4,4,"(15, 1, 19, 3, 0, 2, 11, 18, 6)","(18, 8, 2, 10, 20, 7, 20, 16, 19)"
4,5,"(4, 10, 3, 6, 11, 13, 2, 17, 1, 12, 18, 7, 15, 16, 14, 9, 5, 0, 19, 8)","(19, 3, 19, 13, 20, 13, 5, 10, 16, 10, 15, 15, 17, 3, 3, 20, 6, 3, 13, 2)"
4,6,"(10, 12, 11, 7, 2, 16, 4, 9, 13, 5, 19, 17, 18, 3, 14, 6, 15)","(20, 3, 10, 3, 20, 1, 12, 5, 4, 11, 13, 2, 4, 15, 9, 16, 7)"
