kind,task,machine_selectable,process_time
0,0,"(6, 8, 11, 7)","(18, 1, 5, 12)"
0,1,"(12, 2, 11)","(10, 4, 4)"
0,2,"(14, 10, 12, 9, 13, 6, 3, 1, 0, 4)","(16, 5, 16, 7, 20, 7, 9, 1, 11, 9)"
0,3,"(11, 5, 13, 2, 1, 8, 14, 3)","(9, 20, 17, 20, 15, 5, 2, 9)"
0,4,"(2, 8, 5, 6, 13, 11, 1, 12, 7)","(14, 6, 5, 20, 1, 3, 14, 2, 7)"
1,0,"(3, 14, 12)","(19, 14, 17)"
1,1,"(12, 6, 10, 13)","(9, 15, 4, 15)"
1,2,"(2, 5, 11)","(5, 15, 20)"
1,3,"(0, 6, 8, 4, 11, 14, 13, 10, 3, 1, 5, 9, 7)","(2, 17, 16, 6, 1, 5, 3, 20, 10, 1, 10, 17, 17)"
1,4,"(7, 6, 10, 9)","(17, 9, 7, 9)"
1,5,"(9, 1, 3, 6)","(8, 15, 9, 17)"
1,6,"(2, 7, 10, 0, 3, 13, 1, 11, 14, 9, 5, 4)","(4, 7, 5, 8, 10, 4, 1, 18, 1, 13, 7, 3)"
2,0,"(10, 5, 0, 2, 13, 14, 11, 6, 3)","(17, 2, 5, 15, 11, 19, 2, 7, 3)"
2,1,"(13, 9, 0, 7, 14, 2)","(10, 15, 7, 5, 17, 6)"
2,2,"(7, 11, 3, 4)","(17, 8, 13, 18)"
2,3,"(6, 2, 12, 3, 1, 4, 7, 11, 14, 5, 0, 9, 13, 10)","(16, 6, 4, 3, 8, 13, 13, 15, 3, 16, 14, 7, 1, 13)"
2,4,"(3, 0, 13, 9, 4, 1, 10)","(4, 10, 3, 14, 18, 8, 6)"
2,5,"(8, 4, 7, 11, 3, 10, 14, 9, 6, 0, 12, 1)","(18, 16, 6, 7, 12, 9, 12, 3, 19, 7, 19, 5)"
2,6,"(8, 0, 4, 5, 6, 2, 13, 14, 11, 9, 1, 7, 10, 12, 3)","(17, 14, 19, 16, 2, 18, 13, 8, 10, 7, 4, 12, 12, 4, 10)"
2,7,"(2, 10, 1, 14, 7, 8, 5, 0, 11, 6, 13, 12, 3)","(7, 19, 3, 1, 3, 17, 1, 20, 20, 14, 6, 18, 15)"
2,8,"(10, 1, 13, 5, 6, 7, 11, 2, 3, 0)","(5, 19, 9, 4, 18, 9, 16, 4, 3, 4)"
2,9,"(10,)","(11,)"
3,0,"(3, 1, 8, 14, 11, 2, 6, 0, 12, 4, 7, 13, 9)","(13, 18, 12, 17, 20, 12, 18, 2, 1, 20, 16, 2, 16)"
3,1,"(12, 1, 8, 0, 14, 9, 11, 4, 5, 6, 2, 13, 10, 3, 7)","(5, 15, 16, 13, 15, 6, 14, 12, 4, 9, 3, 14, 20, 1, 14)"
3,2,"(7, 4, 3, 10)","(17, 16, 4, 6)"
3,3,"(14, 3, 4, 9, 5, 0, 1, 7, 8, 11, 2, 6)","(14, 13, 11, 19, 15, 17, 4, 6, 18, 4, 3, 9)"
3,4,"(9, 10, 2, 14, 3, 11, 1, 13, 4, 7, 8, 0)","(8, 1, 18, 18, 19, 2, 9, 5, 17, 14, 13, 5)"
3,5,"(11, 5)","(20, 1)"
3,6,"(4, 9, 11, 13, 6, 2, 3)","(2, 20, 4, 8, 9, 6, 10)"
4,0,"(3, 4, 9, 8, 14, 11, 10, 12)","(12, 15, 11, 5, 12, 7, 6, 14)"
