kind,task,machine_selectable,process_time
0,0,"(4, 3, 0, 2)","(12, 1, 5, 6)"
0,1,"(1, 3, 4, 0, 9, 8, 2)","(17, 6, 5, 13, 2, 13, 16)"
0,2,"(0, 2, 1, 6, 7)","(1, 6, 9, 12, 18)"
0,3,"(5, 9, 0, 4, 8, 7)","(11, 13, 16, 4, 8, 9)"
0,4,"(2, 9, 3, 0, 7, 5)","(8, 8, 18, 18, 1, 3)"
0,5,"(6, 4, 7, 8, 2)","(11, 8, 4, 10, 12)"
0,6,"(0, 5, 4, 2, 6)","(12, 15, 1, 11, 3)"
1,0,"(8, 1)","(3, 8)"
1,1,"(2, 6, 7, 0, 1, 3)","(19, 10, 3, 19, 1, 12)"
1,2,"(4, 2, 6, 8, 9, 7)","(3, 11, 20, 10, 20, 20)"
1,3,"(3, 5, 7)","(17, 5, 13)"
1,4,"(4, 1, 5, 3)","(15, 18, 16, 11)"
1,5,"(0, 2, 8, 5, 9, 6, 1, 3, 4, 7)","(11, 3, 20, 2, 20, 18, 1, 1, 17, 11)"
1,6,"(4, 9, 0, 1, 7, 3, 8, 6)","(20, 1, 6, 20, 20, 9, 19, 14)"
1,7,"(8, 2, 1, 4, 9, 3, 5, 7, 6, 0)","(14, 17, 2, 2, 6, 7, 9, 19, 10, 10)"
1,8,"(0, 1, 2, 6, 5, 8, 3, 7)","(1, 13, 1, 10, 11, 7, 2, 17)"
2,0,"(1, 4, 7)","(6, 9, 5)"
2,1,"(2, 9, 7, 8, 1, 0)","(12, 15, 8, 12, 2, 3)"
2,2,"(9, 7, 1, 0, 2, 5, 4)","(10, 2, 16, 6, 6, 11, 9)"
2,3,"(1, 9, 3, 8, 4)","(10, 1, 4, 8, 18)"
2,4,"(1, 3, 2, 4, 7, 6, 8, 9, 0)","(18, 1, 5, 16, 4, 10, 1, 13, 20)"
2,5,"(9, 1, 2, 6, 0)","(1, 9, 10, 17, 6)"
2,6,"(0, 4, 5, 1, 2)","(16, 10, 9, 12, 19)"
2,7,"(0,)","(14,)"
2,8,"(1, 3, 4, 0, 5)","(20, 13, 16, 8, 16)"
2,9,"(1,)","(10,)"
3,0,"(0, 5)","(7, 9)"
3,1,"(0, 1, 6, 2, 9)","(18, 10, 4, 16, 14)"
3,2,"(3, 1, 9, 8, 5, 6)","(14, 3, 1, 11, 19, 8)"
3,3,"(8,)","(11,)"
3,4,"(1, 9, 5, 6, 8, 2, 0)","(19, 20, 7, 15, 2, 2, 3)"
3,5,"(4, 8, 6)","(7, 18, 13)"
3,6,"(7, 3, 2, 4, 6, 9, 1, 5, 0, 8)","(1, 7, 15, 14, 9, 19, 20, 15, 8, 1)"
4,0,"(6, 2, 8, 3, 9, 7, 4, 0)","(16, 12, 1, 6, 19, 3, 5, 2)"
4,1,"(2, 7, 9, 6, 0, 1, 4, 3)","(17, 8, 14, 1, 19, 13, 19, 11)"
4,2,"(7, 8, 0, 9, 5, 6, 1, 4, 3)","(3, 20, 17, 17, 8, 16, 18, 9, 3)"
4,3,"(6, 8, 2, 3, 0, 5)","(3, 9, 16, 19, 8, 9)"
4,4,"(3, 1, 9)","(15, 20, 2)"
4,5,"(0, 6, 4, 3, 5, 9, 2, 1, 8, 7)","(9, 16, 15, 18, 9, 6, 5, 20, 13, 4)"
4,6,"(6, 0, 4, 8, 7)","(5, 8, 15, 6, 7)"
4,7,"(4,)","(20,)"
4,8,"(1, 7, 8, 5, 9)","(20, 7, 20, 12, 6)"
5,0,"(6, 9, 5, 4, 7, 2, 0, 1)","(3, 13, 15, 20, 17, 17, 13, 17)"
5,1,"(4, 2, 0, 6, 7)","(14, 10, 3, 18, 18)"
5,2,"(6, 3, 0, 8, 1, 4, 5)","(6, 16, 19, 3, 17, 9, 10)"
5,3,"(3, 8, 0, 9, 2, 5)","(20, 12, 4, 7, 11, 4)"
5,4,"(9, 8, 0)","(2, 10, 11)"
6,0,"(0, 9, 6, 4, 1, 3, 5, 7, 8)","(4, 3, 7, 13, 17, 10, 3, 12, 13)"
6,1,"(6, 7, 4, 0, 5)","(12, 13, 13, 10, 18)"
6,2,"(0, 1, 3, 2, 6, 7, 5, 9, 8, 4)","(17, 3, 11, 12, 18, 3, 16, 11, 7, 6)"
6,3,"(2, 4, 1, 0, 3, 7, 8, 5, 9)","(12, 16, 8, 1, 9, 18, 14, 7, 7)"
6,4,"(8, 2)","(10, 16)"
6,5,"(4, 0, 5, 8)","(16, 17, 18, 10)"
6,6,"(9, 8, 0, 6, 5, 2, 7, 3)","(1, 17, 8, 8, 2, 6, 17, 2)"
6,7,"(5, 9, 6, 7, 3, 8)","(7, 14, 3, 17, 1, 4)"
7,0,"(9, 5, 8, 0, 7, 6, 3, 2)","(10, 11, 14, 9, 18, 14, 10, 2)"
7,1,"(8, 5)","(6, 1)"
7,2,"(1, 6, 7, 9, 8, 5, 2)","(2, 5, 13, 2, 7, 11, 15)"
7,3,"(9, 3, 5, 0, 2, 1, 7, 6, 4)","(18, 4, 12, 10, 6, 16, 3, 3, 8)"
7,4,"(8, 6, 4, 0, 9, 2, 3)","(5, 4, 3, 6, 16, 11, 16)"
7,5,"(9, 1, 5)","(1, 9, 2)"
7,6,"(4, 1, 8, 5)","(13, 2, 16, 7)"
7,7,"(1, 9, 7, 2, 5, 0, 6)","(6, 11, 14, 6, 7, 11, 6)"
7,8,"(2,)","(10,)"
7,9,"(2, 8, 5, 6, 9, 0, 7, 3)","(4, 3, 12, 20, 14, 5, 8, 8)"
8,0,"(8, 3, 9, 2, 5, 7, 6, 0)","(9, 19, 3, 8, 13, 8, 6, 3)"
8,1,"(2,)","(20,)"
8,2,"(7, 5, 6, 8, 9, 4, 1, 0, 3, 2)","(17, 11, 1, 11, 7, 2, 3, 17, 12, 7)"
8,3,"(4, 5, 6, 9, 1, 0, 2, 7)","(4, 6, 2, 5, 11, 3, 16, 10)"
8,4,"(2, 7, 5, 9, 4, 1, 3, 0)","(12, 1, 12, 9, 4, 15, 1, 15)"
9,0,"(3, 0, 8, 6, 2, 4, 1, 7)","(13, 6, 20, 17, 12, 7, 4, 11)"
9,1,"(6,)","(4,)"
9,2,"(2, 0, 6, 8, 3)","(15, 3, 16, 11, 4)"
9,3,"(5, 2)","(16, 7)"
9,4,"(9, 1, 4, 5, 3, 8, 6, 0)","(2, 12, 1, 12, 11, 5, 16, 11)"
9,5,"(0, 5)","(12, 8)"
9,6,"(5, 0, 4, 8, 9)","(14, 9, 4, 14, 17)"
9,7,"(2, 1, 8, 0)","(17, 6, 5, 19)"
9,8,"(8,)","(8,)"
