kind,task,machine_selectable,process_time
0,0,"(3, 5)","(1, 1)"
0,1,"(9, 6, 7, 8)","(18, 4, 15, 14)"
0,2,"(0, 5, 2, 1)","(11, 17, 9, 9)"
0,3,"(3, 1, 2, 5, 6, 9)","(2, 2, 18, 18, 16, 15)"
0,4,"(9, 1)","(18, 13)"
0,5,"(7, 3, 4, 5, 1)","(11, 17, 6, 4, 12)"
0,6,"(4, 9, 0, 6, 2, 8, 5, 3, 1, 7)","(5, 8, 8, 14, 4, 3, 1, 9, 13, 19)"
1,0,"(4, 9)","(14, 10)"
1,1,"(1, 5)","(11, 19)"
1,2,"(1, 8, 6, 2, 5, 3, 7, 0, 4, 9)","(8, 11, 9, 8, 7, 8, 10, 16, 8, 8)"
1,3,"(0, 9, 8, 3, 1, 7, 6, 4, 5, 2)","(15, 18, 19, 20, 1, 15, 14, 2, 15, 12)"
1,4,"(9, 4, 8, 7, 0, 1, 3, 5, 2)","(6, 6, 14, 9, 11, 20, 3, 5, 14)"
1,5,"(7, 1, 5, 9, 4)","(7, 1, 10, 7, 15)"
1,6,"(2, 3, 7, 5, 6, 1)","(9, 9, 20, 5, 13, 10)"
1,7,"(0, 2, 5, 3, 7, 8, 6, 9)","(20, 5, 9, 11, 11, 13, 10, 12)"
2,0,"(1, 5, 7, 8, 4, 0, 6, 9, 2)","(9, 2, 5, 9, 17, 14, 20, 1, 15)"
2,1,"(4, 2)","(1, 12)"
2,2,"(9, 8, 4, 5)","(3, 6, 13, 17)"
2,3,"(9, 5, 8, 1, 7, 3, 6)","(9, 5, 2, 1, 6, 18, 10)"
2,4,"(8, 3, 7, 6, 5, 1, 4, 0, 9, 2)","(3, 9, 13, 1, 2, 2, 11, 10, 8, 19)"
3,0,"(2, 1, 9, 5, 8, 3, 6, 0)","(19, 13, 20, 17, 19, 6, 10, 14)"
3,1,"(5, 4, 0, 2, 3, 6, 1, 9, 7, 8)","(3, 9, 10, 17, 15, 16, 13, 17, 10, 20)"
3,2,"(2, 5, 9, 8, 1, 0, 6, 7, 4, 3)","(20, 13, 17, 17, 1, 12, 4, 17, 6, 12)"
3,3,"(5,)","(15,)"
3,4,"(7, 0, 6, 4, 3, 2, 8, 5, 1)","(10, 16, 13, 15, 20, 12, 14, 2, 18)"
3,5,"(8, 5, 3)","(15, 18, 17)"
3,6,"(6, 1)","(3, 6)"
3,7,"(3, 8)","(10, 14)"
3,8,"(2, 3, 8, 4, 9, 7, 0, 6)","(13, 18, 2, 5, 13, 3, 12, 20)"
4,0,"(6, 0, 3, 1, 4, 7)","(13, 10, 19, 9, 2, 19)"
4,1,"(3, 1, 2, 5, 4)","(6, 10, 2, 16, 11)"
4,2,"(2, 8, 3, 9, 0)","(18, 6, 5, 3, 9)"
4,3,"(2, 8, 1)","(2, 10, 13)"
4,4,"(1, 7, 0, 8, 5)","(13, 11, 6, 2, 6)"
4,5,"(0,)","(12,)"
4,6,"(1, 2, 6, 0)","(18, 2, 18, 13)"
5,0,"(8, 2)","(4, 19)"
5,1,"(8,)","(13,)"
5,2,"(3, 6, 9, 4, 1, 7, 8, 2)","(19, 5, 6, 17, 15, 6, 3, 9)"
5,3,"(9, 3, 7)","(16, 1, 12)"
5,4,"(3, 6, 4, 5, 9)","(15, 9, 19, 3, 15)"
5,5,"(6, 8, 1, 2, 9, 3, 0, 5, 7, 4)","(2, 20, 6, 2, 2, 20, 2, 16, 19, 15)"
5,6,"(5, 7, 1, 8, 2, 3, 6, 0)","(16, 14, 1, 18, 1, 2, 16, 7)"
6,0,"(3, 5, 9, 8, 7)","(11, 14, 7, 9, 1)"
6,1,"(1, 0, 6, 9, 2, 3, 7, 4)","(6, 8, 12, 19, 15, 3, 13, 13)"
6,2,"(8, 0, 7, 9, 4)","(1, 1, 2, 12, 8)"
6,3,"(0, 7, 5)","(4, 11, 2)"
6,4,"(3,)","(20,)"
6,5,"(5, 2, 4)","(13, 13, 4)"
6,6,"(3, 9, 6, 2)","(17, 17, 6, 3)"
6,7,"(0, 9, 3)","(18, 10, 15)"
6,8,"(9, 1, 3, 0)","(8, 16, 3, 15)"
6,9,"(4, 9, 2, 1, 5, 3, 6, 0, 7, 8)","(12, 10, 18, 18, 12, 6, 13, 4, 14, 6)"
7,0,"(7, 0, 6, 1, 3, 9, 4)","(13, 6, 17, 19, 14, 9, 7)"
7,1,"(2, 3, 5, 8)","(16, 14, 16, 3)"
7,2,"(7, 0, 2, 1, 4)","(10, 14, 3, 13, 15)"
7,3,"(5,)","(8,)"
7,4,"(2, 9, 0, 3, 7, 5, 4, 1, 6, 8)","(7, 1, 2, 17, 17, 20, 16, 1, 16, 2)"
7,5,"(7, 1)","(20, 3)"
7,6,"(5, 7, 9, 4, 2, 6, 1)","(19, 1, 9, 10, 6, 2, 5)"
7,7,"(2, 9, 4, 1, 0, 6, 5, 3)","(20, 1, 20, 17, 12, 5, 19, 15)"
7,8,"(8, 2, 3)","(17, 17, 13)"
8,0,"(9, 6, 7, 1, 2, 5, 4)","(2, 5, 5, 11, 11, 16, 19)"
8,1,"(3, 7, 4)","(19, 4, 7)"
8,2,"(9, 3, 5, 2, 6, 0, 7, 8)","(4, 19, 17, 2, 5, 13, 12, 4)"
8,3,"(4, 6, 2, 8, 0)","(11, 9, 3, 1, 11)"
8,4,"(4, 2, 3, 6, 8, 9)","(13, 16, 16, 17, 11, 20)"
8,5,"(6, 3, 0, 4)","(12, 2, 17, 4)"
8,6,"(5, 9, 6, 8, 2, 0, 4, 7)","(18, 1, 6, 14, 7, 7, 19, 11)"
8,7,"(0,)","(1,)"
8,8,"(0, 5, 3, 4, 6, 2, 8)","(7, 11, 12, 18, 20, 11, 17)"
8,9,"(1, 0)","(8, 17)"
9,0,"(2, 4, 5, 9, 7, 8, 6, 1, 0)","(10, 3, 10, 8, 2, 3, 5, 12, 2)"
9,1,"(1, 0, 7, 4, 6, 2, 3, 5)","(12, 13, 12, 13, 13, 5, 2, 10)"
9,2,"(1, 7, 8)","(5, 12, 16)"
9,3,"(1, 5, 2, 7, 3, 0, 8, 9, 4, 6)","(14, 19, 12, 10, 4, 6, 13, 13, 10, 1)"
9,4,"(0, 8, 3, 2)","(19, 7, 10, 6)"
9,5,"(2, 0, 5)","(11, 4, 13)"
9,6,"(8, 0, 2, 7, 1, 6, 4, 3, 9, 5)","(1, 14, 20, 12, 14, 1, 14, 14, 15, 12)"
9,7,"(8, 7, 9, 0, 6, 1, 5, 2, 4)","(3, 19, 14, 10, 8, 2, 20, 6, 10)"
9,8,"(5, 8, 3, 6, 1)","(3, 6, 13, 6, 16)"
9,9,"(7, 2, 3, 1, 0, 8)","(5, 14, 3, 13, 19, 8)"
10,0,"(7, 1, 9, 0, 4, 5, 2, 8)","(16, 4, 8, 17, 7, 2, 11, 9)"
10,1,"(6, 0, 4, 1, 7, 2, 8, 9)","(10, 3, 19, 11, 8, 5, 17, 3)"
10,2,"(1, 4, 6, 5, 9, 3, 0)","(5, 1, 16, 5, 17, 14, 12)"
10,3,"(0, 7, 5, 9, 6, 2, 1, 8, 3)","(13, 16, 18, 5, 20, 17, 1, 8, 15)"
10,4,"(2, 5, 3, 4, 1)","(2, 9, 20, 13, 11)"
10,5,"(3, 7, 1, 9, 4, 8)","(18, 10, 4, 5, 15, 16)"
10,6,"(3, 8, 1, 4, 2, 0, 7, 9)","(14, 1, 6, 1, 17, 9, 8, 18)"
10,7,"(9, 1)","(5, 10)"
10,8,"(7, 4, 5, 2, 6)","(9, 2, 7, 17, 6)"
11,0,"(3, 4, 2, 5, 7)","(5, 17, 8, 15, 19)"
11,1,"(4, 8, 3, 5, 1, 6, 0)","(4, 19, 18, 5, 17, 4, 15)"
11,2,"(5, 4, 1, 2)","(18, 2, 3, 16)"
11,3,"(6, 2)","(10, 14)"
11,4,"(3, 0, 2, 6, 8, 9, 1, 7, 5, 4)","(15, 16, 11, 16, 1, 20, 15, 18, 19, 9)"
12,0,"(1, 3, 7, 6, 8, 5, 4)","(2, 1, 14, 20, 14, 4, 10)"
12,1,"(0, 6, 2, 3)","(12, 19, 5, 17)"
12,2,"(9, 7, 3)","(10, 20, 5)"
12,3,"(3, 9, 5, 4, 0)","(16, 18, 7, 18, 7)"
12,4,"(9,)","(20,)"
12,5,"(8, 3, 4, 1)","(10, 9, 8, 11)"
12,6,"(5, 1, 7, 4, 0, 2, 6)","(9, 10, 2, 7, 12, 7, 12)"
12,7,"(8, 1, 9)","(11, 1, 16)"
12,8,"(0, 7, 9)","(7, 16, 7)"
12,9,"(0, 7, 2, 3, 9, 4, 5, 8, 6, 1)","(15, 2, 14, 3, 5, 10, 8, 16, 11, 8)"
13,0,"(0, 8)","(6, 8)"
13,1,"(6, 3, 8)","(1, 19, 15)"
13,2,"(6, 4, 2, 0, 1, 9, 8, 3)","(1, 9, 14, 4, 20, 11, 10, 17)"
13,3,"(8, 0, 1, 9, 5, 2, 6, 3, 7)","(3, 20, 11, 19, 1, 15, 7, 14, 16)"
13,4,"(2, 5, 3)","(7, 12, 4)"
13,5,"(6, 2)","(9, 17)"
13,6,"(3, 9)","(12, 4)"
13,7,"(6,)","(13,)"
13,8,"(4, 6, 0, 9, 7, 5, 3, 2)","(14, 16, 14, 12, 18, 8, 19, 10)"
14,0,"(1, 3, 9, 6, 0, 2)","(9, 9, 1, 3, 3, 20)"
14,1,"(6, 4, 8, 0, 2, 3, 7, 1, 5)","(9, 10, 15, 20, 6, 15, 7, 15, 6)"
14,2,"(0, 6, 8, 5, 4, 1)","(6, 1, 2, 16, 14, 16)"
14,3,"(6, 2, 4, 0, 3, 9, 1)","(16, 1, 14, 1, 20, 20, 7)"
14,4,"(4, 1, 3, 8, 7, 9, 5, 6, 0)","(15, 13, 4, 3, 9, 17, 4, 2, 10)"
14,5,"(6, 2, 8, 0, 9, 4, 7, 5)","(2, 1, 2, 6, 12, 3, 13, 1)"
