kind,task,machine_selectable,process_time
0,0,"(4, 6, 3, 1, 5, 0, 9, 2)","(8, 12, 8, 18, 19, 15, 14, 14)"
0,1,"(1, 3, 9, 0)","(19, 13, 15, 2)"
0,2,"(9, 1, 3, 6, 4)","(9, 14, 19, 18, 20)"
0,3,"(8, 7, 0, 6, 3, 2, 1)","(11, 6, 17, 3, 19, 18, 19)"
0,4,"(7, 4, 2, 0, 3)","(8, 18, 19, 8, 9)"
0,5,"(2, 5)","(17, 13)"
0,6,"(4, 9, 8, 7, 1, 2, 5)","(16, 4, 3, 16, 17, 19, 11)"
0,7,"(8, 6, 4, 1, 3)","(10, 19, 17, 11, 19)"
1,0,"(5, 1, 0)","(6, 14, 5)"
1,1,"(7, 8, 4, 2, 0, 9, 3, 1, 6)","(8, 10, 7, 3, 6, 18, 12, 16, 9)"
1,2,"(2, 5)","(4, 20)"
1,3,"(6, 7)","(8, 7)"
1,4,"(6, 0, 3, 2, 7, 9, 5, 8)","(17, 13, 8, 18, 20, 9, 11, 13)"
1,5,"(8, 5, 4, 3, 0)","(20, 6, 6, 18, 15)"
1,6,"(6, 2, 1, 5)","(11, 10, 20, 13)"
1,7,"(6, 1, 4, 5, 9)","(7, 14, 8, 4, 18)"
2,0,"(1, 8, 9, 2)","(8, 7, 5, 1)"
2,1,"(3, 2)","(7, 3)"
2,2,"(5,)","(20,)"
2,3,"(8, 0, 6, 5, 4, 2, 3)","(20, 19, 18, 1, 1, 17, 5)"
2,4,"(2, 1)","(14, 20)"
2,5,"(8, 0, 9, 1, 4, 3, 6, 5, 7, 2)","(13, 19, 6, 1, 14, 7, 16, 1, 20, 19)"
2,6,"(1, 9, 4, 5, 7, 3, 8, 0, 6)","(13, 14, 13, 10, 11, 18, 6, 19, 8)"
3,0,"(2, 4, 7, 8, 6, 1)","(13, 4, 13, 18, 13, 1)"
3,1,"(8, 7, 2, 3, 9, 4, 5, 1, 6)","(6, 14, 11, 3, 16, 15, 10, 13, 17)"
3,2,"(7, 3, 2, 1, 4)","(9, 1, 3, 6, 1)"
3,3,"(5, 9)","(19, 4)"
3,4,"(5,)","(3,)"
3,5,"(3, 0, 7)","(1, 2, 14)"
3,6,"(2, 8, 6, 4, 0, 7)","(7, 3, 2, 14, 18, 1)"
3,7,"(3,)","(2,)"
4,0,"(0, 6, 3, 7, 5, 8)","(3, 4, 19, 15, 5, 2)"
4,1,"(4, 1, 5, 6, 9, 0)","(10, 19, 15, 9, 10, 7)"
4,2,"(8, 7, 9, 5, 4, 1, 6, 2)","(10, 8, 2, 14, 12, 7, 12, 1)"
4,3,"(1, 7, 2, 8, 9, 5, 0, 6, 3, 4)","(18, 18, 19, 6, 1, 16, 7, 5, 10, 18)"
4,4,"(5, 8)","(13, 20)"
4,5,"(2, 6, 5, 1, 3, 0, 8)","(3, 10, 15, 19, 12, 2, 9)"
4,6,"(1, 5)","(5, 17)"
4,7,"(7, 4, 6, 5)","(3, 6, 5, 12)"
