kind,task,machine_selectable,process_time
0,0,"(5, 6, 3)","(2, 19, 9)"
0,1,"(7, 8, 4, 9)","(2, 14, 11, 9)"
0,2,"(1, 0, 2, 9, 7, 8, 3, 5, 4)","(4, 11, 18, 13, 7, 12, 17, 13, 12)"
0,3,"(6, 3, 7, 1)","(20, 7, 18, 12)"
0,4,"(3, 6, 5, 9)","(17, 8, 5, 6)"
0,5,"(2, 3)","(16, 18)"
1,0,"(1, 5, 0, 4, 7, 8, 2, 3, 6, 9)","(15, 3, 1, 3, 14, 14, 4, 1, 13, 14)"
1,1,"(0, 3, 8, 4, 9, 6, 2)","(18, 5, 5, 13, 12, 20, 10)"
1,2,"(5,)","(6,)"
1,3,"(7,)","(6,)"
1,4,"(0, 7, 1, 5, 8)","(7, 20, 17, 20, 18)"
1,5,"(7, 3, 0, 1, 2, 9, 8, 5, 4, 6)","(10, 6, 20, 19, 16, 17, 6, 20, 15, 3)"
2,0,"(9, 6, 5, 0, 8, 2, 3, 1, 7)","(16, 17, 13, 9, 6, 18, 16, 13, 11)"
2,1,"(1, 3, 5, 2, 4, 6, 7, 8)","(8, 19, 17, 1, 13, 2, 11, 12)"
2,2,"(4, 8, 1, 2, 6, 0, 5)","(16, 10, 13, 4, 17, 1, 13)"
2,3,"(5, 0, 9, 7, 1)","(16, 19, 18, 6, 11)"
2,4,"(9, 3, 0)","(13, 5, 10)"
3,0,"(1, 3, 8, 7, 6, 0, 5)","(10, 11, 18, 3, 16, 12, 15)"
3,1,"(5, 9, 8, 0, 3, 2, 6, 7, 4, 1)","(5, 19, 10, 10, 18, 15, 4, 1, 8, 18)"
3,2,"(4, 6, 1, 7, 0, 9, 2, 5, 3, 8)","(18, 19, 19, 7, 4, 19, 7, 9, 3, 1)"
3,3,"(7, 1, 0, 8, 3, 6, 9, 5, 2)","(2, 4, 11, 1, 8, 8, 18, 11, 14)"
3,4,"(8, 3)","(8, 15)"
3,5,"(9, 7, 1, 2, 4)","(6, 9, 14, 3, 13)"
3,6,"(4, 2, 1, 5)","(14, 8, 19, 6)"
4,0,"(6, 4, 9, 1, 2, 5, 0, 7, 3)","(17, 6, 18, 19, 12, 2, 20, 1, 20)"
4,1,"(9, 4, 0, 6, 1, 7, 8, 5, 2, 3)","(14, 6, 12, 8, 3, 18, 14, 11, 20, 1)"
4,2,"(3, 0, 5)","(10, 5, 5)"
4,3,"(6, 3, 4, 5, 2, 9, 1, 0)","(15, 1, 16, 6, 20, 16, 8, 14)"
4,4,"(9, 0, 7, 1, 2, 4, 6, 8, 3, 5)","(3, 20, 16, 18, 6, 18, 13, 11, 4, 20)"
4,5,"(5, 0, 1, 6, 4, 7)","(14, 19, 9, 12, 13, 15)"
4,6,"(7,)","(20,)"
4,7,"(1, 0, 2, 3, 4, 9, 5, 7)","(15, 10, 20, 4, 7, 17, 11, 9)"
