kind,task,machine_selectable,process_time
0,0,"(7, 8, 9, 18, 1, 2, 5, 4, 19)","(18, 9, 1, 9, 20, 12, 7, 12, 19)"
0,1,"(12, 15, 11, 8, 13, 5, 19, 3, 14, 7, 0, 9, 6, 2, 17, 10, 18)","(5, 14, 15, 4, 12, 10, 17, 19, 4, 12, 7, 19, 15, 14, 16, 4, 19)"
0,2,"(11, 17, 16, 13, 0, 2, 5, 10, 19, 3)","(13, 17, 2, 15, 11, 5, 10, 9, 3, 18)"
0,3,"(13, 17, 12, 3, 16, 2, 10, 8, 19, 7, 6, 0, 18, 14, 9, 1, 4, 11, 5)","(20, 5, 5, 1, 1, 18, 18, 11, 13, 1, 16, 11, 13, 2, 17, 9, 5, 11, 2)"
0,4,"(2, 0, 15, 10, 4, 19, 6, 13)","(3, 6, 9, 11, 4, 2, 17, 9)"
0,5,"(16, 13, 1, 6, 8, 9, 10, 14, 5, 17, 15, 19, 11, 0, 3, 18, 4, 7)","(18, 16, 1, 2, 19, 18, 10, 17, 10, 16, 14, 13, 6, 6, 12, 10, 9, 15)"
1,0,"(6, 8, 16, 7, 2, 14, 15, 3, 12, 17, 10, 11, 4, 13, 1, 5, 0, 18, 19)","(7, 16, 1, 16, 17, 15, 6, 1, 18, 13, 8, 14, 15, 6, 19, 4, 12, 5, 14)"
1,1,"(17, 7)","(1, 18)"
1,2,"(14, 4, 5, 3, 10, 9, 12, 6)","(12, 3, 8, 15, 20, 12, 20, 17)"
1,3,"(10, 13, 1, 11, 8, 15, 12, 19)","(11, 11, 16, 17, 2, 3, 9, 4)"
1,4,"(8, 15, 17, 6, 19, 11, 16, 0, 12, 2, 13, 18)","(2, 13, 2, 13, 12, 12, 3, 13, 2, 1, 11, 18)"
1,5,"(8, 16, 5, 3, 2, 13, 9, 0, 4)","(2, 5, 9, 4, 12, 12, 1, 11, 11)"
2,0,"(12, 3, 7, 13, 15, 2, 5, 0, 17, 9, 6, 16)","(5, 7, 3, 6, 11, 12, 17, 14, 15, 17, 13, 7)"
2,1,"(13, 15, 9, 4, 6, 18, 5, 8, 2, 7, 14, 17, 19, 11, 10, 1, 3, 0)","(10, 3, 8, 4, 16, 19, 19, 6, 16, 18, 17, 12, 5, 9, 17, 15, 13, 4)"
2,2,"(6, 15)","(2, 7)"
2,3,"(3, 12)","(8, 14)"
2,4,"(3, 16, 12, 8, 15, 0)","(11, 14, 2, 18, 10, 8)"
3,0,"(6, 18, 8, 13, 1, 14, 5, 12)","(5, 15, 9, 1, 2, 4, 8, 8)"
3,1,"(11, 17, 13, 16, 4, 3, 18, 2, 1, 0, 6, 12, 9, 14, 8)","(6, 18, 20, 9, 15, 7, 1, 5, 7, 20, 15, 9, 17, 9, 1)"
3,2,"(7, 18, 17, 5, 9, 11, 8, 4, 3, 0, 13, 10, 1)","(17, 11, 2, 9, 16, 7, 16, 10, 17, 7, 2, 9, 8)"
3,3,"(19, 6, 15, 9)","(15, 6, 5, 17)"
3,4,"(0, 9, 3, 1, 18, 5, 8, 17, 13)","(2, 13, 8, 7, 5, 14, 7, 2, 7)"
3,5,"(4, 0, 15, 10, 5, 6, 9, 2, 13, 16, 14, 3, 7, 19, 12, 18, 1, 17)","(7, 13, 15, 14, 20, 19, 7, 11, 6, 6, 4, 13, 17, 6, 20, 12, 18, 4)"
3,6,"(16, 18, 6, 3, 14, 9, 13)","(7, 11, 3, 11, 4, 11, 9)"
3,7,"(16, 5, 13, 7, 1, 2, 4, 9, 6, 15, 0, 18, 3)","(3, 12, 20, 1, 1, 17, 17, 13, 5, 8, 7, 17, 4)"
3,8,"(4, 0, 13, 3, 2, 18, 5, 17, 1, 6, 19, 15, 8, 11, 9, 10)","(12, 2, 3, 9, 16, 3, 17, 10, 18, 13, 19, 20, 12, 3, 18, 10)"
4,0,"(13, 14, 15, 8, 16, 3)","(14, 9, 12, 15, 8, 5)"
4,1,"(4, 17, 3, 15, 13, 1, 10, 18, 2, 8, 16, 14, 6, 0)","(17, 10, 4, 3, 18, 3, 9, 3, 6, 9, 12, 12, 14, 2)"
4,2,"(14, 3, 13, 19, 15)","(19, 19, 10, 12, 9)"
4,3,"(9, 18, 12, 5, 1, 6)","(1, 6, 3, 11, 10, 5)"
4,4,"(0, 17, 14, 1, 16, 7, 19, 5, 15, 6, 13, 10)","(11, 2, 9, 2, 9, 3, 6, 20, 5, 17, 3, 7)"
4,5,"(3, 5, 8, 19, 14, 0, 10, 7, 1, 17, 11)","(3, 14, 2, 4, 19, 8, 12, 3, 3, 1, 16)"
