kind,task,machine_selectable,process_time
0,0,"(13, 2, 1, 11, 9, 10, 14, 6, 12, 5, 8)","(1, 13, 15, 13, 19, 2, 20, 10, 11, 17, 4)"
0,1,"(0, 11, 10, 3, 12, 8, 14, 13, 7, 1)","(1, 13, 15, 5, 16, 19, 12, 12, 19, 7)"
0,2,"(14, 4, 7, 1, 2)","(15, 9, 2, 19, 9)"
0,3,"(14,)","(17,)"
0,4,"(8, 10, 11, 5, 6, 7, 0, 14, 2, 12, 13)","(18, 8, 1, 5, 5, 9, 14, 7, 3, 8, 2)"
0,5,"(4,)","(16,)"
1,0,"(13, 10)","(16, 5)"
1,1,"(7, 5, 12, 0, 14, 1, 6)","(18, 13, 5, 8, 8, 2, 10)"
1,2,"(1, 5)","(17, 14)"
1,3,"(12, 1, 2, 0, 11, 6, 14, 8, 13, 3, 5)","(9, 19, 8, 4, 14, 20, 12, 20, 12, 13, 10)"
1,4,"(1, 11, 9, 3, 12, 0, 8, 4, 2, 14, 5, 7, 6, 10)","(7, 2, 1, 9, 6, 20, 18, 3, 9, 10, 20, 6, 3, 19)"
1,5,"(13, 10, 0, 14, 5, 2, 8, 9, 7, 11, 12, 6, 1)","(11, 17, 4, 6, 14, 2, 18, 19, 4, 13, 2, 3, 2)"
1,6,"(2, 5, 0)","(3, 20, 16)"
2,0,"(4, 7, 12, 5, 6, 1, 14, 13, 0)","(3, 3, 6, 6, 17, 20, 20, 17, 7)"
2,1,"(5, 10, 11, 1, 8)","(13, 20, 2, 2, 19)"
2,2,"(1, 4, 12, 7, 6, 9)","(18, 8, 1, 9, 17, 18)"
2,3,"(4, 2, 10, 6, 0, 13, 7, 9, 3, 5, 14, 8)","(10, 16, 15, 2, 11, 18, 9, 1, 4, 12, 8, 20)"
2,4,"(10,)","(13,)"
2,5,"(6, 5, 0, 2, 12, 8, 14, 13, 4)","(13, 17, 5, 6, 14, 18, 9, 12, 16)"
2,6,"(1, 0, 3, 6)","(16, 4, 6, 3)"
3,0,"(7, 10, 9, 8)","(10, 13, 10, 2)"
3,1,"(14, 11, 3, 8, 0, 13, 12, 6, 5, 2, 7)","(8, 8, 19, 17, 14, 6, 17, 15, 18, 13, 8)"
3,2,"(4, 1, 13, 12, 6, 11, 0, 3)","(1, 16, 11, 3, 2, 18, 2, 1)"
3,3,"(2, 6, 9, 13, 7, 3, 11, 8, 5, 1, 12, 0, 14, 4, 10)","(4, 6, 8, 20, 12, 18, 6, 5, 10, 12, 8, 4, 16, 16, 14)"
3,4,"(3, 2, 14, 10, 4, 9, 11, 6, 12, 1, 7, 0, 5, 13, 8)","(6, 17, 6, 9, 18, 5, 18, 13, 2, 15, 18, 5, 11, 9, 15)"
3,5,"(10, 12, 14, 1)","(12, 11, 11, 9)"
3,6,"(9, 6, 4, 14, 1, 12, 3, 5, 11, 8, 7)","(3, 15, 7, 2, 12, 12, 5, 11, 11, 11, 2)"
3,7,"(12, 6, 1, 2, 10, 4, 14, 0, 13, 11, 8)","(14, 14, 18, 19, 5, 14, 14, 11, 3, 4, 17)"
4,0,"(14, 13, 6, 9, 7, 2, 5, 0, 12, 1, 10)","(10, 13, 10, 20, 8, 20, 6, 4, 14, 5, 10)"
4,1,"(10, 8, 2, 9, 4)","(3, 5, 14, 14, 14)"
4,2,"(11, 14, 10, 9, 4, 12, 6, 7, 5)","(19, 16, 10, 2, 13, 20, 11, 19, 15)"
4,3,"(2, 13, 7, 3)","(12, 7, 15, 3)"
4,4,"(3, 9, 1, 11, 0, 4)","(9, 15, 13, 6, 2, 11)"
4,5,"(9, 7, 13, 11, 0, 4, 1, 3)","(1, 7, 20, 17, 1, 16, 4, 14)"
4,6,"(0, 12, 10, 11)","(11, 14, 6, 5)"
4,7,"(10, 5, 14, 12, 3, 13)","(19, 20, 5, 16, 20, 6)"
4,8,"(14, 9, 12, 13, 7, 2, 3, 11, 5, 0, 8, 6, 1, 4, 10)","(12, 18, 1, 18, 9, 8, 2, 12, 9, 19, 18, 13, 9, 16, 2)"
