kind,task,machine_selectable,process_time
0,0,"(14, 15, 11, 12, 5, 4, 18, 0, 3, 13, 7, 16, 1, 9, 6, 19, 10)","(17, 10, 20, 17, 6, 16, 5, 3, 7, 6, 20, 12, 15, 17, 20, 6, 8)"
0,1,"(0, 10, 9, 15, 11, 18, 3, 17, 6, 16, 5, 14, 1, 12, 7, 2)","(14, 10, 3, 5, 11, 18, 3, 11, 19, 16, 8, 11, 10, 8, 15, 18)"
0,2,"(0, 10, 2, 6)","(3, 20, 6, 5)"
0,3,"(19, 1, 5, 16, 15, 3, 13, 11, 4, 18, 9, 17, 7, 6, 8, 0)","(3, 6, 16, 16, 5, 12, 17, 13, 1, 7, 6, 11, 10, 8, 14, 11)"
0,4,"(17, 3, 16, 14, 6, 8, 9, 0, 12, 18, 15, 5)","(18, 5, 4, 6, 17, 13, 9, 10, 18, 2, 4, 6)"
0,5,"(13, 1, 19, 8, 17)","(7, 2, 9, 5, 10)"
0,6,"(16, 4, 1, 7, 17, 6, 2, 14, 18)","(10, 2, 18, 18, 5, 14, 2, 1, 13)"
1,0,"(8, 3, 13, 15, 9, 5, 10, 18, 17, 4, 19, 11, 14, 7, 12, 2, 6, 1)","(7, 14, 4, 11, 6, 19, 2, 14, 8, 17, 1, 18, 16, 1, 10, 14, 14, 6)"
1,1,"(8, 6, 12, 10)","(13, 2, 6, 11)"
1,2,"(5, 18, 9, 14, 2, 0, 6, 13, 19, 11, 10, 12, 3, 1, 8, 17, 4, 7, 15, 16)","(19, 1, 2, 5, 1, 7, 16, 4, 11, 19, 7, 15, 9, 12, 6, 6, 14, 10, 5, 18)"
1,3,"(2, 10, 0, 4, 9, 19, 18)","(3, 7, 7, 17, 2, 6, 5)"
1,4,"(2, 11, 16, 15, 9, 5, 4, 1, 6, 17, 14, 13, 18, 7, 3, 12, 10)","(3, 1, 9, 18, 12, 9, 5, 7, 2, 8, 20, 11, 14, 2, 2, 16, 3)"
