kind,task,machine_selectable,process_time
0,0,"(7, 1, 8, 11, 4, 14, 9)","(11, 12, 17, 2, 1, 1, 13)"
0,1,"(3, 14, 8, 13, 11)","(11, 7, 14, 16, 1)"
0,2,"(0, 5, 2, 8, 12, 13, 9, 10, 7, 1, 11)","(4, 6, 16, 9, 3, 2, 5, 19, 12, 18, 4)"
0,3,"(1, 11, 9, 5, 2, 6, 14)","(13, 17, 3, 19, 14, 18, 13)"
0,4,"(7,)","(5,)"
1,0,"(11, 6, 10, 2, 5, 12, 0, 14, 3, 13, 9, 7, 1)","(11, 10, 14, 12, 14, 15, 13, 7, 13, 10, 9, 7, 14)"
1,1,"(8, 7, 1, 14, 12, 5, 6, 0, 9, 3, 2, 11, 10, 4, 13)","(14, 8, 8, 1, 12, 7, 15, 19, 2, 3, 3, 13, 17, 11, 12)"
1,2,"(9, 1, 12, 8, 13, 4)","(2, 13, 6, 15, 20, 1)"
1,3,"(2, 10, 5, 4, 14, 11, 9, 7)","(16, 9, 1, 8, 15, 15, 14, 6)"
1,4,"(5, 8, 7, 14)","(1, 19, 11, 2)"
1,5,"(11, 4, 10, 5, 6, 3, 9)","(17, 14, 6, 19, 4, 4, 5)"
1,6,"(4, 2, 7, 9, 1, 0, 10, 5, 3, 14, 11, 13)","(7, 1, 2, 5, 18, 10, 18, 16, 5, 12, 20, 2)"
2,0,"(9, 11, 3, 12, 2, 7, 13, 0, 6, 5, 10, 4, 8)","(8, 5, 4, 10, 12, 15, 13, 17, 6, 7, 1, 8, 14)"
2,1,"(14, 6, 1, 5, 3, 12, 8, 7, 0, 9, 11, 2, 4, 13)","(18, 8, 7, 10, 2, 11, 10, 6, 11, 15, 1, 6, 8, 5)"
2,2,"(11, 13, 8, 12, 3, 10, 2, 4, 7, 5)","(19, 15, 12, 3, 20, 17, 13, 17, 18, 20)"
2,3,"(8, 1, 3, 5, 14, 9, 11, 0, 4, 13)","(7, 9, 14, 15, 7, 20, 2, 20, 1, 18)"
2,4,"(11, 5, 9, 12, 13)","(4, 1, 18, 6, 20)"
2,5,"(8, 10, 1, 11, 6, 5, 4, 14, 2)","(19, 7, 13, 8, 1, 12, 19, 7, 16)"
2,6,"(4, 1, 12, 10)","(9, 6, 16, 11)"
2,7,"(3, 4, 10, 12, 1, 5, 6)","(12, 9, 4, 18, 16, 13, 4)"
