kind,task,machine_selectable,process_time
0,0,"(9, 13, 11)","(12, 11, 15)"
0,1,"(4, 6, 9, 13, 14, 5, 2, 12, 11, 8, 1, 7)","(9, 4, 3, 11, 6, 18, 8, 12, 6, 2, 4, 8)"
0,2,"(4,)","(14,)"
0,3,"(0, 13, 3, 5, 1)","(2, 10, 1, 1, 18)"
0,4,"(14, 9)","(18, 9)"
1,0,"(5, 7, 1, 2, 10, 9, 0, 14, 13, 3, 11, 8, 12, 6, 4)","(15, 13, 17, 4, 20, 14, 15, 10, 11, 5, 19, 19, 11, 7, 17)"
1,1,"(13, 12, 9, 2, 1, 11)","(12, 1, 8, 6, 20, 10)"
1,2,"(3, 9, 12, 6, 10, 14, 13, 4, 11, 2, 5)","(20, 8, 19, 6, 19, 19, 15, 8, 12, 10, 16)"
1,3,"(10, 8, 14, 6, 13, 12, 9, 1, 2, 3, 5, 4, 0, 11, 7)","(16, 17, 15, 13, 5, 12, 11, 2, 4, 11, 8, 19, 7, 16, 16)"
1,4,"(11, 12, 14, 0, 7)","(17, 5, 7, 12, 16)"
2,0,"(11, 13, 14, 3, 12, 2, 8, 10, 6, 9)","(1, 7, 3, 6, 2, 14, 17, 18, 7, 17)"
2,1,"(4, 12, 10, 6, 5, 3, 8, 7, 13, 9, 1)","(20, 3, 18, 9, 20, 14, 8, 19, 9, 19, 10)"
2,2,"(14, 12, 7, 2, 0, 6, 1, 11, 8, 4, 10, 5, 13, 3, 9)","(15, 17, 18, 13, 8, 14, 8, 11, 2, 8, 19, 17, 17, 6, 12)"
2,3,"(13, 8, 11)","(19, 6, 17)"
2,4,"(13, 3, 0, 7, 14, 11, 9, 2)","(3, 4, 19, 15, 1, 7, 13, 20)"
2,5,"(12, 11, 2, 1, 6, 7, 13, 10, 8, 9, 14, 5)","(9, 16, 13, 18, 11, 17, 19, 10, 19, 20, 17, 13)"
2,6,"(0, 13, 14, 12, 3, 5, 1, 9, 4, 10, 7, 8)","(20, 14, 4, 16, 14, 19, 5, 14, 10, 20, 17, 6)"
2,7,"(8, 2)","(16, 12)"
2,8,"(13, 3, 5, 2, 14, 9, 0, 4)","(9, 2, 12, 12, 1, 6, 20, 5)"
2,9,"(13, 10, 5, 7, 1, 12)","(7, 5, 11, 2, 8, 15)"
3,0,"(13, 5, 6)","(5, 15, 18)"
3,1,"(5, 11, 12, 2, 10, 1, 0, 14, 6, 9, 7)","(15, 19, 12, 1, 1, 4, 16, 2, 16, 4, 4)"
3,2,"(10, 8, 0, 7, 3, 12, 13, 9, 4, 2, 11, 1)","(7, 4, 18, 13, 19, 3, 8, 5, 11, 14, 18, 12)"
3,3,"(13, 2, 12, 4, 11)","(8, 14, 15, 4, 5)"
3,4,"(14, 6, 13, 1)","(5, 15, 6, 7)"
3,5,"(7, 5, 0, 3, 13, 6, 10, 14, 8, 2, 9, 1, 12, 4)","(19, 13, 16, 20, 4, 13, 7, 3, 20, 11, 19, 15, 14, 12)"
3,6,"(12, 7, 5, 9, 4, 6, 10, 8, 2, 14, 1)","(15, 11, 2, 4, 20, 19, 16, 16, 4, 6, 10)"
3,7,"(11, 8, 1, 0, 2, 13, 14, 6, 7, 10, 3, 4, 5)","(3, 4, 9, 18, 11, 18, 18, 7, 11, 4, 19, 9, 9)"
3,8,"(5, 2)","(3, 6)"
4,0,"(0,)","(10,)"
4,1,"(10, 0, 4, 3, 6, 8, 12, 1, 14, 13, 7, 2)","(3, 13, 2, 14, 3, 18, 10, 11, 16, 14, 10, 15)"
4,2,"(12, 1, 10, 14, 6, 11, 7, 4, 13, 9, 3, 0, 8)","(6, 20, 11, 12, 5, 4, 7, 20, 12, 3, 20, 9, 11)"
4,3,"(13, 8, 4, 10, 6, 0, 5, 11, 14, 3, 12)","(8, 17, 9, 11, 8, 13, 6, 9, 1, 9, 7)"
4,4,"(9, 1, 6, 4, 5, 14)","(8, 14, 2, 9, 3, 4)"
4,5,"(4, 5, 10, 11, 0, 13, 8, 9)","(13, 17, 7, 10, 15, 2, 19, 17)"
4,6,"(3, 9, 13, 14, 7, 10)","(11, 2, 9, 7, 8, 5)"
