kind,task,machine_selectable,process_time
0,0,"(2,)","(15,)"
0,1,"(4, 5)","(5, 13)"
0,2,"(3, 7)","(20, 4)"
0,3,"(3, 7, 0, 6, 9)","(4, 12, 17, 6, 5)"
0,4,"(2, 3)","(14, 7)"
0,5,"(8, 9, 3, 6, 7, 2, 4, 0)","(9, 2, 1, 4, 13, 8, 6, 9)"
0,6,"(1, 7)","(10, 4)"
0,7,"(8,)","(16,)"
1,0,"(8, 9, 6, 1, 5, 2)","(5, 13, 2, 18, 1, 2)"
1,1,"(4,)","(8,)"
1,2,"(0, 8, 7, 9, 1)","(5, 10, 2, 12, 18)"
1,3,"(8, 6)","(20, 7)"
1,4,"(1, 6)","(11, 16)"
1,5,"(9, 4, 2, 0, 6)","(18, 3, 3, 12, 16)"
2,0,"(5, 1, 9)","(17, 17, 12)"
2,1,"(9, 0, 7, 4, 6, 2, 5)","(14, 12, 8, 13, 13, 15, 10)"
2,2,"(8, 1, 3, 7)","(17, 18, 16, 5)"
2,3,"(4, 5)","(20, 14)"
2,4,"(0, 1, 4, 7, 3, 5, 8)","(13, 8, 5, 13, 7, 17, 4)"
3,0,"(4, 2, 8, 0)","(14, 6, 14, 2)"
3,1,"(0, 7, 4, 9, 1, 8, 3, 2, 6)","(20, 19, 7, 11, 12, 3, 3, 10, 1)"
3,2,"(4, 9)","(13, 9)"
3,3,"(4, 0, 2, 3, 8, 5, 6, 7, 9, 1)","(5, 14, 7, 1, 17, 9, 8, 4, 17, 14)"
3,4,"(8, 4, 3, 2, 7)","(18, 4, 20, 2, 19)"
3,5,"(0, 9, 1, 7, 4, 3)","(18, 4, 15, 5, 13, 14)"
3,6,"(9, 3, 8, 7, 1, 5, 2, 0, 4)","(6, 9, 7, 9, 4, 7, 19, 5, 15)"
3,7,"(7,)","(2,)"
4,0,"(9, 1, 4, 8, 3, 7, 6, 5)","(15, 6, 19, 2, 16, 4, 4, 20)"
4,1,"(6, 0, 9, 2, 1, 3, 7, 5)","(6, 7, 19, 6, 13, 9, 13, 19)"
4,2,"(6, 5, 2, 7, 4, 9, 0, 8, 1, 3)","(9, 20, 15, 8, 17, 6, 8, 2, 8, 5)"
4,3,"(9, 4, 6, 7, 3, 8, 5, 0, 2, 1)","(6, 17, 17, 4, 14, 14, 4, 14, 14, 5)"
4,4,"(8, 7, 1, 3, 2, 0, 4, 5)","(13, 20, 11, 8, 20, 12, 10, 5)"
4,5,"(1, 5, 7, 6, 8, 4, 0, 2)","(3, 18, 16, 5, 9, 12, 3, 2)"
4,6,"(9, 2, 8, 1, 6, 0, 4)","(1, 15, 6, 9, 4, 16, 15)"
4,7,"(2, 1, 0, 4, 9, 3, 8, 6, 5)","(15, 10, 7, 19, 1, 16, 12, 10, 4)"
5,0,"(6,)","(12,)"
