kind,task,machine_selectable,process_time
0,0,"(0, 4, 6, 2, 8, 7, 3)","(18, 4, 8, 12, 14, 8, 20)"
0,1,"(1, 8, 3)","(12, 12, 11)"
0,2,"(8, 5)","(9, 17)"
0,3,"(0, 9, 4, 7, 5, 8, 3)","(3, 5, 14, 9, 1, 6, 15)"
0,4,"(3, 5, 1, 8, 9, 6)","(2, 18, 1, 3, 1, 15)"
0,5,"(3, 4, 1)","(6, 15, 7)"
0,6,"(6, 9, 5, 4, 3, 1, 7, 2, 8, 0)","(6, 6, 12, 15, 19, 20, 1, 8, 9, 10)"
1,0,"(1,)","(2,)"
1,1,"(8, 4, 3, 9, 1)","(10, 8, 3, 8, 7)"
1,2,"(5, 8, 0, 3, 1)","(12, 3, 13, 17, 4)"
1,3,"(9, 5, 4, 2, 0, 1, 6)","(15, 16, 19, 18, 13, 4, 1)"
1,4,"(0,)","(9,)"
1,5,"(1, 4, 2, 3)","(19, 3, 11, 5)"
1,6,"(2, 4, 0, 7, 3, 5, 9, 8)","(9, 5, 9, 7, 13, 7, 1, 4)"
2,0,"(8, 4, 9, 1, 7, 6, 5, 2, 3, 0)","(16, 10, 18, 1, 18, 8, 11, 12, 8, 8)"
2,1,"(5, 8, 2, 6)","(7, 9, 16, 5)"
2,2,"(9, 7, 1, 0, 8)","(12, 19, 9, 2, 20)"
2,3,"(0, 5, 3, 4, 8)","(11, 3, 12, 18, 18)"
2,4,"(4, 5, 3, 0)","(19, 8, 18, 3)"
2,5,"(1, 9, 6)","(8, 15, 4)"
2,6,"(7, 8, 0)","(7, 11, 18)"
2,7,"(0, 8, 9, 5)","(2, 3, 1, 7)"
2,8,"(9, 7, 6, 3, 2, 0, 5, 1, 4, 8)","(4, 6, 15, 16, 19, 15, 2, 12, 3, 1)"
2,9,"(0, 5, 3, 8, 9)","(16, 2, 12, 20, 8)"
3,0,"(4, 1, 3, 2, 7)","(1, 19, 17, 7, 13)"
3,1,"(2, 5, 7)","(13, 15, 17)"
3,2,"(1, 4, 0, 7, 6)","(7, 8, 16, 19, 12)"
3,3,"(2, 1, 7, 6, 3, 9, 5, 8, 0)","(20, 12, 4, 13, 9, 9, 2, 9, 5)"
3,4,"(8, 3, 9, 2, 6, 1, 5, 0)","(3, 17, 17, 20, 8, 13, 17, 10)"
3,5,"(5, 2, 9, 0, 7, 1, 3, 6)","(18, 1, 9, 6, 11, 16, 9, 14)"
3,6,"(8, 7, 4, 5, 6, 9, 0, 2, 1)","(3, 12, 6, 2, 16, 9, 11, 14, 14)"
3,7,"(8, 2, 5, 3)","(7, 19, 14, 10)"
4,0,"(2,)","(12,)"
4,1,"(9, 1, 7, 3, 5, 8)","(18, 6, 12, 12, 4, 8)"
4,2,"(4, 1, 9)","(12, 9, 18)"
4,3,"(8, 3, 6, 4, 7, 1, 2, 9, 5)","(11, 13, 19, 12, 20, 8, 3, 19, 16)"
4,4,"(9, 7, 3, 4, 5)","(4, 16, 9, 18, 5)"
4,5,"(5,)","(18,)"
5,0,"(3, 1, 5, 6, 2, 7, 8, 9, 4, 0)","(1, 5, 10, 12, 19, 9, 20, 13, 8, 5)"
5,1,"(5, 7, 0, 9, 8, 1, 3)","(17, 11, 16, 16, 2, 4, 4)"
5,2,"(8, 2, 0, 5, 1, 7, 4, 9, 6, 3)","(9, 15, 10, 12, 19, 6, 19, 12, 16, 16)"
5,3,"(4, 1, 5, 0, 3)","(13, 16, 17, 9, 9)"
5,4,"(1, 2, 4, 7, 5, 0, 9)","(10, 8, 10, 12, 16, 16, 9)"
5,5,"(6, 2, 7, 9, 0, 3, 1)","(13, 20, 12, 15, 18, 13, 10)"
5,6,"(0, 4, 2, 5, 8)","(10, 20, 15, 3, 17)"
5,7,"(2,)","(5,)"
6,0,"(3, 2, 4, 8)","(16, 5, 13, 19)"
6,1,"(8, 6, 2, 7, 5, 0, 1, 9, 3, 4)","(19, 5, 12, 10, 18, 5, 6, 1, 20, 20)"
6,2,"(8, 9, 2, 6, 0, 5, 1)","(2, 6, 2, 2, 10, 4, 14)"
6,3,"(4, 5, 9, 0, 8, 7, 1, 3, 6, 2)","(5, 11, 11, 2, 17, 12, 1, 13, 11, 13)"
6,4,"(8, 4, 6)","(4, 5, 19)"
6,5,"(9, 3, 7, 5, 1)","(1, 12, 17, 13, 8)"
6,6,"(7, 5, 4, 9, 1)","(11, 17, 6, 19, 9)"
6,7,"(9, 1, 6, 8, 5, 2, 7, 3)","(3, 12, 8, 9, 16, 11, 3, 1)"
6,8,"(7, 4, 5, 1, 6, 3)","(4, 6, 5, 11, 19, 6)"
6,9,"(1, 3, 8, 9)","(1, 18, 14, 13)"
7,0,"(0, 4, 3, 1, 8, 9)","(7, 17, 15, 17, 10, 15)"
7,1,"(1,)","(15,)"
7,2,"(2, 7, 3, 9)","(16, 3, 10, 14)"
7,3,"(2, 4, 1, 5, 8, 7, 6, 3, 0)","(12, 18, 4, 20, 20, 10, 11, 10, 20)"
7,4,"(7, 6, 5, 3, 9)","(17, 6, 18, 7, 5)"
7,5,"(0, 5, 9, 6, 2)","(2, 13, 15, 10, 17)"
8,0,"(3, 2, 5, 9, 0, 6, 8)","(9, 11, 18, 1, 8, 7, 11)"
8,1,"(8, 1)","(18, 6)"
8,2,"(4, 1, 2, 9, 6, 0, 8, 3, 7, 5)","(2, 5, 1, 17, 2, 1, 11, 13, 12, 3)"
8,3,"(7, 4)","(2, 20)"
8,4,"(7, 5)","(9, 5)"
8,5,"(2, 5)","(19, 7)"
8,6,"(0, 9, 3, 2, 8, 7, 5)","(12, 12, 12, 18, 2, 13, 9)"
9,0,"(0, 8, 6, 7, 2, 4, 3, 5, 9)","(16, 13, 15, 9, 2, 5, 1, 6, 1)"
9,1,"(1, 6, 0)","(20, 16, 16)"
9,2,"(8, 9, 3, 5, 1)","(1, 8, 15, 14, 5)"
9,3,"(8,)","(20,)"
9,4,"(9, 8, 2, 3)","(4, 13, 3, 7)"
