kind,task,machine_selectable,process_time
0,0,"(8, 9)","(11, 14)"
0,1,"(9,)","(13,)"
0,2,"(6,)","(19,)"
0,3,"(7, 4, 0, 2)","(9, 20, 20, 13)"
0,4,"(2, 5, 0, 3)","(4, 20, 10, 17)"
0,5,"(6, 1, 7, 5, 0)","(13, 13, 19, 6, 18)"
0,6,"(3, 8)","(17, 16)"
1,0,"(7, 6, 9, 8)","(5, 8, 2, 2)"
1,1,"(0, 8, 1, 3, 5, 2, 9, 4)","(17, 6, 5, 18, 15, 8, 11, 16)"
1,2,"(5, 6, 8, 9, 0, 4, 3)","(12, 7, 7, 11, 1, 2, 14)"
1,3,"(9, 5, 6, 7, 2, 8, 3, 4, 1, 0)","(10, 1, 5, 16, 4, 1, 9, 7, 2, 11)"
1,4,"(4, 7, 1, 2, 9, 6, 0, 8, 5, 3)","(20, 3, 20, 10, 1, 18, 9, 2, 14, 20)"
1,5,"(7, 9, 1, 5, 6, 2, 4, 3, 8)","(17, 1, 20, 18, 17, 5, 12, 1, 18)"
1,6,"(8, 6, 9, 3, 0, 1, 4, 2, 7, 5)","(18, 15, 5, 12, 14, 5, 2, 5, 7, 9)"
1,7,"(1, 4, 8)","(10, 7, 13)"
1,8,"(3, 7, 9)","(14, 2, 2)"
1,9,"(6, 0)","(12, 15)"
2,0,"(2,)","(16,)"
2,1,"(0, 1)","(16, 11)"
2,2,"(2, 6, 5, 7, 1, 4, 3)","(13, 6, 1, 9, 8, 12, 7)"
2,3,"(3, 6, 8, 1, 9)","(15, 9, 7, 5, 5)"
2,4,"(8, 2, 1, 3, 5, 0, 9)","(1, 20, 2, 14, 14, 1, 5)"
3,0,"(7, 1)","(20, 9)"
3,1,"(4,)","(1,)"
3,2,"(0, 7)","(2, 5)"
3,3,"(0, 4, 1, 7, 6, 5, 3, 2, 8, 9)","(7, 18, 4, 4, 17, 3, 18, 20, 11, 7)"
3,4,"(7, 2, 8, 6, 5)","(16, 19, 7, 19, 4)"
3,5,"(9, 4, 2)","(19, 5, 16)"
3,6,"(2, 9, 4, 6, 3, 7)","(14, 16, 19, 11, 7, 11)"
3,7,"(1, 7, 8, 4, 6, 5, 0)","(1, 2, 4, 14, 10, 18, 13)"
3,8,"(5, 4, 0, 1, 8, 9, 7, 2, 3, 6)","(16, 10, 16, 15, 17, 2, 17, 19, 14, 17)"
3,9,"(8, 6, 5, 9, 2, 4, 1, 0, 7)","(16, 8, 8, 3, 4, 8, 18, 5, 12)"
4,0,"(5, 2, 4, 1, 8)","(3, 7, 6, 14, 13)"
4,1,"(1, 3, 4, 5, 8, 0, 6, 7, 9)","(10, 20, 16, 18, 18, 10, 7, 10, 15)"
4,2,"(0, 5, 3)","(11, 17, 16)"
4,3,"(4, 0, 5, 3, 9, 6, 1)","(12, 19, 15, 5, 9, 15, 17)"
4,4,"(9,)","(15,)"
4,5,"(7, 1, 0)","(6, 19, 6)"
