kind,task,machine_selectable,process_time
0,0,"(17, 19, 14, 9, 2, 5, 18, 10, 15, 0, 6)","(13, 18, 2, 2, 16, 6, 1, 18, 13, 18, 17)"
0,1,"(15, 6, 8, 10, 4, 9, 19, 14, 11, 7, 1, 2, 18, 5, 0, 17)","(10, 3, 11, 17, 6, 7, 12, 7, 17, 13, 6, 12, 13, 8, 7, 9)"
0,2,"(0, 4)","(15, 5)"
0,3,"(16, 9, 19, 18, 8, 7, 14, 11, 0, 13, 10, 17)","(17, 17, 9, 5, 7, 10, 15, 1, 20, 4, 7, 8)"
0,4,"(12, 4, 2, 8, 13, 11, 7, 15, 1, 10, 9, 6, 19, 3, 0, 16, 17, 14, 18, 5)","(5, 2, 7, 19, 19, 12, 4, 9, 11, 10, 4, 10, 7, 1, 13, 20, 7, 15, 7, 6)"
0,5,"(3, 16, 11, 2, 18, 12, 7, 8)","(7, 17, 19, 6, 5, 5, 18, 9)"
0,6,"(15, 2, 0, 4, 13)","(13, 20, 9, 12, 9)"
0,7,"(1, 9, 11, 0, 2, 18, 14, 10, 7, 4, 19, 15, 8, 13, 6, 16, 3, 17, 5, 12)","(8, 12, 10, 2, 18, 14, 16, 7, 15, 20, 2, 11, 1, 4, 18, 3, 2, 16, 14, 19)"
1,0,"(4, 12, 18, 7)","(11, 14, 18, 12)"
1,1,"(3, 4)","(7, 1)"
1,2,"(9, 14, 5, 1, 3, 18, 11, 6, 8, 12, 15, 7, 19, 17, 4, 16, 13, 2, 10, 0)","(9, 1, 9, 11, 18, 7, 15, 15, 6, 13, 1, 7, 15, 13, 2, 16, 7, 19, 8, 2)"
1,3,"(17, 2, 7, 0, 15, 10, 8, 14, 5, 3)","(5, 10, 7, 6, 4, 5, 5, 11, 19, 7)"
1,4,"(12, 16, 2, 0, 8)","(16, 10, 10, 19, 13)"
1,5,"(1, 17, 6, 10, 4, 16, 13, 5, 9, 19, 15, 18, 8, 7)","(20, 10, 20, 8, 14, 1, 10, 9, 7, 4, 1, 8, 15, 4)"
1,6,"(10, 8, 4, 11, 6, 16, 2, 3, 13)","(6, 18, 7, 17, 16, 13, 1, 4, 18)"
1,7,"(19, 3, 16, 17, 5, 10, 9, 7, 15, 6, 4, 2, 11, 8)","(7, 13, 19, 7, 1, 4, 7, 18, 17, 17, 4, 7, 6, 17)"
1,8,"(4, 16, 19, 17, 9, 0, 18, 2, 1, 14, 12, 6, 7, 15, 8, 10, 5, 3, 11)","(14, 13, 12, 8, 4, 13, 4, 20, 4, 7, 8, 10, 14, 1, 6, 14, 3, 20, 1)"
1,9,"(10, 15, 12)","(17, 12, 10)"
2,0,"(5, 0, 19, 13, 14, 1, 11, 9, 7, 3, 16, 12, 2, 4, 8, 15, 10)","(7, 19, 18, 6, 13, 17, 12, 2, 15, 9, 14, 16, 17, 11, 1, 11, 18)"
2,1,"(8, 11, 13, 9, 15, 0, 19, 18, 5, 3, 14, 10, 16, 6, 7, 12, 17)","(1, 13, 16, 13, 18, 19, 11, 4, 8, 18, 17, 9, 12, 11, 19, 14, 2)"
