kind,task,machine_selectable,process_time
0,0,"(13, 2, 7, 5, 11)","(3, 13, 2, 8, 15)"
0,1,"(9, 2, 4, 12, 7, 5, 0, 14, 13, 1, 11, 3)","(6, 8, 14, 1, 13, 11, 5, 17, 20, 13, 9, 16)"
0,2,"(6, 7, 13, 2, 9, 12, 0, 10, 14, 5, 3, 11)","(2, 16, 17, 18, 3, 3, 11, 12, 6, 13, 6, 17)"
0,3,"(6, 12, 8, 14, 11)","(3, 7, 2, 17, 15)"
0,4,"(8, 2, 11, 7, 6, 1, 4, 3, 5, 9, 12, 10, 13)","(10, 4, 2, 9, 7, 15, 4, 7, 14, 2, 3, 1, 18)"
0,5,"(0, 14, 4)","(6, 17, 14)"
0,6,"(3, 13, 4, 2, 14, 7, 0, 11, 5, 9, 1, 8, 6, 10)","(15, 16, 18, 10, 2, 9, 6, 15, 14, 6, 9, 14, 20, 10)"
0,7,"(9, 14, 7, 5, 2, 11, 0, 8, 1, 13, 12, 4)","(1, 18, 19, 13, 9, 4, 3, 12, 6, 11, 19, 17)"
0,8,"(5, 12, 4, 1, 9, 11, 14, 10, 2, 7, 6, 13, 3, 8)","(11, 7, 1, 20, 6, 9, 7, 11, 7, 20, 19, 8, 5, 2)"
0,9,"(3,)","(3,)"
1,0,"(8, 2, 9, 4, 12, 0, 7, 3, 1, 11)","(12, 16, 3, 1, 12, 18, 18, 15, 14, 17)"
1,1,"(3,)","(1,)"
1,2,"(9, 0, 10, 4, 14, 1, 3, 8, 5, 11, 2, 12, 6)","(7, 12, 1, 3, 20, 15, 3, 18, 15, 13, 15, 10, 6)"
1,3,"(14, 12, 4, 9, 5, 8, 3, 11, 7, 13)","(9, 11, 7, 6, 4, 17, 14, 4, 4, 4)"
1,4,"(13, 2, 0, 6, 8, 14, 1, 5, 7)","(1, 17, 3, 3, 16, 13, 19, 8, 15)"
1,5,"(6, 1, 7, 14)","(8, 5, 9, 7)"
1,6,"(6, 1, 9, 8)","(5, 8, 16, 6)"
