kind,task,machine_selectable,process_time
0,0,"(7, 8, 19, 15)","(3, 13, 10, 20)"
0,1,"(4, 16, 2, 17, 1, 10, 5, 3, 13, 11, 14, 8, 18, 7, 15, 12, 19, 0)","(11, 2, 15, 17, 1, 11, 10, 13, 10, 20, 4, 9, 18, 10, 10, 20, 6, 4)"
0,2,"(18, 12, 2, 9, 16, 7, 3, 10, 1, 17)","(15, 17, 20, 13, 13, 17, 6, 16, 14, 4)"
0,3,"(5, 0, 7, 16, 10, 8, 18, 13, 11, 6, 4, 2, 12, 3)","(9, 9, 17, 6, 12, 12, 12, 12, 9, 11, 3, 15, 1, 12)"
0,4,"(13, 15, 5, 6, 10, 3, 1, 14, 0, 9, 7, 19, 18, 12, 4)","(7, 17, 1, 4, 11, 11, 3, 13, 10, 19, 17, 2, 1, 17, 3)"
0,5,"(16, 14, 7, 17)","(4, 15, 3, 6)"
0,6,"(17, 3, 7, 9, 10, 19, 5, 8)","(17, 6, 10, 2, 6, 18, 14, 14)"
0,7,"(16, 12, 4, 0, 13, 2, 3, 18, 1, 6, 19, 11, 8, 10, 5, 9, 14, 15)","(6, 17, 4, 13, 4, 1, 5, 4, 12, 2, 3, 10, 20, 9, 16, 14, 14, 10)"
0,8,"(7, 12, 16, 19, 6, 4, 17, 9, 3, 15, 5, 13, 10, 0)","(5, 2, 16, 20, 7, 7, 14, 14, 15, 19, 3, 4, 9, 5)"
1,0,"(19, 9, 2, 4, 7, 3, 0, 13, 18, 6, 1, 10, 17, 5, 12, 11, 16, 8, 15)","(7, 17, 19, 16, 5, 9, 15, 1, 10, 13, 9, 12, 12, 5, 5, 2, 14, 2, 14)"
1,1,"(12, 8, 1, 11, 14, 7, 18, 9, 10, 13, 16, 2, 6, 4, 17, 0)","(4, 15, 15, 14, 12, 20, 19, 15, 8, 10, 19, 12, 8, 4, 13, 17)"
1,2,"(15,)","(11,)"
1,3,"(4, 14, 11, 10, 2, 15, 9, 12, 8, 0, 6, 7)","(7, 10, 16, 15, 3, 12, 17, 3, 11, 11, 3, 8)"
1,4,"(12, 5, 0, 14)","(13, 1, 6, 8)"
1,5,"(12, 9, 10, 19, 2, 4, 3, 7, 14, 11, 6, 8, 18)","(15, 18, 20, 10, 19, 4, 16, 12, 16, 9, 18, 20, 4)"
1,6,"(1, 10, 18, 6, 11, 4, 13, 14, 9, 12, 8, 5, 16, 15, 7, 0, 3, 17, 19, 2)","(3, 1, 2, 3, 19, 11, 1, 18, 2, 17, 19, 9, 20, 4, 12, 3, 4, 11, 16, 15)"
2,0,"(7, 0, 5, 13, 16, 18, 12, 14, 15, 17, 1, 6, 2, 9, 10, 4, 8, 19, 11)","(9, 8, 12, 20, 7, 15, 16, 16, 1, 7, 8, 3, 12, 9, 7, 1, 7, 12, 4)"
2,1,"(5, 12, 15, 17, 16, 7)","(8, 11, 11, 2, 11, 1)"
2,2,"(13, 19, 2, 14, 9, 7, 18, 1)","(9, 16, 5, 17, 16, 2, 5, 13)"
2,3,"(1, 12, 0, 19, 9, 3, 6, 13, 8, 10, 18, 17)","(18, 2, 10, 16, 10, 4, 13, 11, 4, 13, 4, 20)"
