kind,task,machine_selectable,process_time
0,0,"(0, 3, 12, 4, 8, 7, 9, 16, 10, 6, 15, 14, 2)","(13, 14, 13, 20, 9, 8, 5, 2, 6, 19, 2, 5, 7)"
0,1,"(1, 16, 10, 13, 7, 15, 19, 12, 17, 5, 3, 2)","(12, 18, 14, 18, 8, 10, 10, 17, 3, 14, 3, 6)"
0,2,"(6, 17, 15, 14, 13, 12, 16, 0, 2, 4)","(20, 16, 8, 14, 2, 11, 2, 17, 8, 4)"
0,3,"(9, 12, 5, 13, 7, 1, 10, 11, 18, 2, 6, 19, 4, 15, 3)","(2, 13, 2, 7, 11, 4, 8, 2, 1, 9, 4, 4, 8, 5, 10)"
0,4,"(15, 3, 14, 4, 6, 12, 7, 10, 17, 1, 5, 18, 16)","(17, 14, 13, 5, 14, 1, 3, 12, 14, 4, 7, 17, 3)"
0,5,"(3, 14, 16, 9, 4, 18, 6, 19, 7, 5, 0, 8, 12, 17, 1, 10)","(20, 8, 16, 13, 18, 12, 3, 11, 6, 10, 16, 16, 15, 19, 20, 3)"
1,0,"(8, 2, 7, 17, 6, 10, 12, 19, 14, 5, 9, 0, 18, 1, 16, 4, 3, 13, 11)","(3, 12, 7, 6, 15, 6, 19, 1, 13, 17, 3, 17, 15, 6, 14, 17, 16, 17, 4)"
1,1,"(0, 4, 8, 9, 3, 2, 11, 6, 10, 18, 5, 19, 1)","(9, 8, 18, 18, 5, 2, 13, 17, 9, 3, 17, 18, 17)"
1,2,"(10, 16, 6, 8, 0, 13, 19, 1, 7, 2, 3, 18, 11, 12, 15, 9, 17)","(14, 3, 2, 10, 1, 18, 11, 6, 12, 15, 4, 8, 2, 3, 1, 1, 1)"
1,3,"(10, 0, 17, 7, 16)","(17, 19, 1, 11, 16)"
1,4,"(12, 6, 5, 11, 3, 14, 8, 15, 18)","(9, 7, 8, 6, 16, 12, 17, 5, 4)"
1,5,"(2, 10, 11, 14, 0, 19, 7, 3, 8)","(6, 4, 7, 5, 15, 14, 11, 11, 1)"
1,6,"(6, 17, 2)","(4, 14, 5)"
2,0,"(10, 15, 3)","(11, 17, 1)"
2,1,"(16, 5, 10, 7, 15, 19, 18, 9, 0, 8, 1, 13, 6, 17, 3, 12)","(16, 11, 7, 17, 3, 18, 17, 4, 18, 13, 3, 8, 7, 2, 7, 5)"
2,2,"(9, 13, 2, 4, 18, 16, 19, 17, 15)","(14, 3, 11, 20, 16, 11, 16, 14, 2)"
2,3,"(8, 1, 13, 3, 0, 18, 11, 7, 14, 19, 15)","(4, 20, 2, 7, 9, 17, 13, 3, 12, 3, 6)"
2,4,"(2, 17, 6, 12, 7, 14, 0, 18, 15, 9, 13, 4, 19, 8, 10, 1, 5, 16, 3, 11)","(2, 19, 16, 17, 9, 6, 11, 2, 17, 7, 12, 6, 10, 5, 13, 14, 2, 11, 7, 5)"
3,0,"(14, 9)","(10, 6)"
3,1,"(7, 14, 0, 5, 16, 15, 9, 12, 4, 8, 11, 13, 17, 6, 18)","(1, 19, 6, 11, 11, 17, 7, 11, 19, 10, 4, 2, 6, 1, 8)"
3,2,"(18, 5, 17, 6, 10, 12, 3, 11)","(9, 7, 14, 13, 13, 7, 17, 14)"
3,3,"(18,)","(4,)"
3,4,"(0, 1, 19, 8, 2, 13, 11, 6, 9, 15, 17, 14, 4, 10, 3, 5, 12)","(13, 4, 10, 13, 2, 15, 17, 17, 5, 8, 9, 13, 17, 8, 20, 10, 18)"
3,5,"(16, 1, 18, 13, 10, 7, 11, 5, 8, 9, 3, 2, 15, 17, 4)","(5, 11, 6, 4, 6, 10, 19, 12, 16, 15, 13, 9, 11, 6, 6)"
3,6,"(9, 7, 5, 1, 18)","(11, 19, 6, 17, 19)"
3,7,"(11, 4, 6, 5, 1, 8, 19, 17, 2, 12, 13, 0, 16)","(14, 20, 11, 18, 5, 17, 16, 11, 3, 15, 8, 14, 5)"
3,8,"(10, 5, 4, 3)","(1, 4, 2, 14)"
3,9,"(4, 18, 17, 13, 6, 5, 16, 14, 12, 10, 15, 9, 1, 7)","(16, 2, 8, 13, 14, 5, 3, 16, 13, 17, 19, 12, 20, 5)"
4,0,"(16, 1, 5, 11, 18, 17, 13, 3, 9)","(14, 14, 15, 19, 5, 2, 14, 19, 16)"
4,1,"(10, 2, 7, 4, 11, 15, 8, 14, 12, 16, 18, 0, 6, 17, 5, 13, 9, 19, 1, 3)","(7, 10, 1, 12, 8, 19, 7, 1, 15, 16, 2, 13, 15, 20, 14, 20, 17, 5, 7, 9)"
4,2,"(19, 6, 4, 5, 17, 12, 0)","(5, 6, 7, 4, 18, 18, 15)"
4,3,"(18,)","(10,)"
4,4,"(19, 8, 5, 13, 3, 14, 0, 11, 15, 16, 4, 10, 1, 17, 12, 18)","(12, 12, 19, 5, 20, 19, 17, 16, 2, 9, 7, 3, 13, 4, 19, 6)"
4,5,"(1, 5, 17, 2, 13, 18, 15, 10, 3, 16, 6, 4, 8, 19)","(10, 14, 1, 4, 3, 7, 5, 12, 1, 4, 18, 3, 11, 13)"
4,6,"(18, 7, 0, 11)","(19, 12, 17, 1)"
4,7,"(16, 9, 10, 12, 6, 15, 17, 0, 11, 1, 7, 3, 4, 2, 5, 18, 8, 13)","(14, 12, 12, 5, 20, 17, 8, 15, 18, 1, 17, 1, 4, 15, 4, 5, 15, 10)"
4,8,"(11, 0, 13, 18, 8, 16, 9, 5)","(6, 5, 11, 2, 14, 19, 6, 17)"
4,9,"(10, 9)","(4, 2)"
5,0,"(16, 12, 4, 7, 3, 15, 6, 8, 1, 11, 19)","(17, 3, 16, 8, 10, 18, 10, 19, 8, 17, 11)"
