kind,task,machine_selectable,process_time
0,0,"(4, 1, 6, 5, 8)","(20, 7, 8, 2, 11)"
0,1,"(1, 2, 7)","(12, 7, 13)"
0,2,"(8, 0, 5, 2, 9)","(2, 17, 15, 18, 5)"
0,3,"(2, 9, 1, 8, 7, 0, 4, 5, 3)","(19, 1, 10, 4, 7, 12, 6, 16, 1)"
0,4,"(8, 7, 9, 5, 3, 4, 1, 2, 6)","(5, 14, 19, 2, 7, 5, 8, 16, 13)"
0,5,"(1, 8, 3, 0, 4, 5, 6, 2, 9)","(6, 17, 5, 7, 5, 4, 18, 17, 8)"
0,6,"(3,)","(8,)"
1,0,"(7, 8, 6, 5, 9)","(8, 2, 20, 14, 20)"
1,1,"(8, 4, 7, 5, 0)","(16, 14, 5, 15, 17)"
1,2,"(4, 9, 0, 8)","(1, 19, 5, 3)"
1,3,"(1, 6, 0, 2, 7, 8)","(13, 2, 8, 1, 16, 11)"
1,4,"(9,)","(7,)"
2,0,"(8,)","(15,)"
2,1,"(5, 1)","(19, 5)"
2,2,"(3, 6, 7, 4, 9, 5, 8, 1)","(20, 18, 1, 10, 19, 19, 13, 7)"
2,3,"(7, 5, 9, 0, 3, 4, 1, 6)","(14, 4, 4, 6, 11, 8, 15, 4)"
2,4,"(7, 9, 3, 2, 8)","(15, 12, 7, 8, 17)"
2,5,"(9, 7, 6, 5, 4, 8, 2, 3)","(17, 5, 9, 4, 14, 12, 9, 6)"
2,6,"(8,)","(15,)"
2,7,"(9, 7, 5, 2)","(7, 13, 10, 11)"
2,8,"(2, 3, 7, 4, 5, 9)","(16, 4, 16, 7, 13, 19)"
3,0,"(8, 1, 9, 0, 6, 7, 4, 5, 2)","(17, 13, 10, 15, 1, 6, 12, 20, 4)"
3,1,"(3,)","(8,)"
3,2,"(1, 8, 7)","(10, 19, 2)"
3,3,"(6, 0, 7, 4, 8, 2, 3, 5, 9)","(18, 12, 5, 9, 17, 20, 18, 11, 11)"
3,4,"(3, 1, 5, 8, 7, 2, 4, 9)","(14, 12, 20, 6, 1, 11, 7, 1)"
3,5,"(9, 0, 4, 6)","(1, 5, 14, 16)"
4,0,"(0, 7)","(19, 8)"
4,1,"(8, 1, 9, 6)","(12, 1, 6, 15)"
4,2,"(2, 1, 3, 9, 6, 7, 0, 8, 5)","(6, 11, 9, 5, 18, 13, 8, 16, 8)"
4,3,"(7, 3, 0, 6, 5, 8, 9, 2)","(2, 10, 2, 4, 17, 11, 16, 6)"
4,4,"(7, 1, 0, 8, 5)","(13, 1, 13, 10, 20)"
4,5,"(5, 2, 3, 8, 1, 6)","(12, 11, 3, 7, 5, 18)"
4,6,"(0,)","(12,)"
4,7,"(4, 9, 0, 2, 1, 8, 7, 6, 3)","(7, 16, 1, 12, 10, 4, 7, 7, 2)"
4,8,"(3, 2, 0, 4, 6, 7, 1)","(12, 14, 4, 2, 1, 16, 9)"
4,9,"(7, 4, 3)","(14, 19, 18)"
