kind,task,machine_selectable,process_time
0,0,"(16, 11, 1, 15, 12, 7, 14, 6, 18, 4, 2, 19)","(20, 11, 15, 19, 5, 3, 15, 4, 18, 4, 17, 8)"
0,1,"(18, 5, 19, 16, 4, 9, 14, 13, 7, 11, 17, 0)","(1, 7, 18, 13, 16, 1, 18, 2, 20, 8, 7, 8)"
0,2,"(17, 5, 8, 4, 3, 6, 1, 15)","(19, 5, 2, 2, 11, 3, 2, 2)"
0,3,"(0, 8, 16, 7, 1, 11, 3, 9)","(5, 5, 13, 17, 8, 8, 20, 18)"
0,4,"(1, 17, 10, 19, 7, 2, 12, 15)","(16, 20, 20, 5, 20, 20, 7, 17)"
0,5,"(3, 15, 9, 6, 13, 5, 0, 10, 17, 1, 18, 11, 7, 12)","(12, 11, 14, 15, 11, 7, 1, 19, 8, 1, 13, 4, 9, 10)"
0,6,"(11, 10, 8, 14)","(18, 18, 1, 17)"
1,0,"(14, 17, 6, 13, 10, 8, 11, 16, 0, 7, 1, 4, 19, 12, 18, 15, 3, 5)","(11, 3, 6, 19, 16, 19, 18, 18, 15, 3, 2, 16, 7, 15, 16, 6, 7, 5)"
1,1,"(16, 19, 11, 15, 14, 13, 10, 9, 4, 8)","(16, 10, 18, 11, 7, 11, 1, 7, 8, 7)"
1,2,"(17, 16, 4, 2, 6, 7, 5, 10, 15, 1, 18, 14, 9, 8)","(9, 7, 2, 13, 3, 11, 10, 2, 1, 4, 9, 9, 16, 18)"
1,3,"(14, 3, 18, 11, 15, 16, 5, 7, 12, 17, 9, 2, 10, 13, 0, 6, 1, 8, 4)","(10, 7, 19, 14, 2, 18, 11, 14, 17, 18, 16, 10, 17, 4, 7, 3, 7, 7, 13)"
1,4,"(8, 12, 9, 13, 3, 18, 14, 4, 1, 0, 7, 2, 6, 15, 10, 5, 19, 11, 16)","(5, 5, 19, 16, 8, 19, 6, 11, 10, 2, 18, 11, 3, 10, 14, 10, 14, 16, 7)"
1,5,"(13, 5, 18, 17, 10, 19, 15, 16, 2, 3, 9, 12, 11)","(20, 7, 16, 6, 15, 8, 5, 18, 17, 2, 2, 5, 15)"
1,6,"(18, 19, 7)","(15, 11, 12)"
2,0,"(19, 14, 7, 13, 15, 9, 18, 4, 3)","(15, 16, 13, 12, 6, 19, 1, 4, 13)"
2,1,"(19, 5, 17, 4, 0, 13, 14, 6, 2, 7)","(17, 14, 13, 2, 18, 10, 12, 11, 15, 11)"
2,2,"(10, 12, 17, 14, 8, 15, 2, 16, 0, 7, 19, 4, 1, 13, 6, 3)","(1, 4, 18, 19, 20, 16, 17, 3, 9, 20, 16, 10, 19, 6, 4, 14)"
2,3,"(18, 2, 19)","(15, 17, 5)"
2,4,"(12, 0, 11, 9, 3, 1)","(17, 10, 1, 17, 7, 4)"
3,0,"(19, 0, 4)","(18, 9, 6)"
3,1,"(6, 11, 4, 14, 8, 2)","(19, 7, 1, 14, 3, 1)"
3,2,"(2, 19, 3, 6, 17, 4, 5, 1, 10, 14, 13, 12, 7, 8, 15, 0, 18, 16, 11)","(7, 18, 16, 12, 3, 1, 3, 6, 1, 19, 3, 2, 6, 16, 20, 15, 3, 10, 1)"
3,3,"(12, 17, 4, 13, 3, 15, 8, 9, 14, 18, 11, 19, 1, 6, 2, 7, 0)","(17, 2, 2, 18, 19, 1, 16, 16, 13, 19, 17, 8, 3, 2, 17, 3, 5)"
3,4,"(16, 11, 13, 19, 3, 17, 7, 2, 15, 5, 4, 0, 6, 14, 10, 18)","(1, 20, 13, 2, 20, 19, 17, 12, 4, 19, 3, 16, 2, 13, 19, 9)"
3,5,"(14, 18, 10, 7, 5, 12, 13, 4, 15, 6, 19, 9, 0, 1, 11, 8, 3, 17)","(7, 6, 2, 14, 11, 16, 8, 8, 19, 6, 10, 5, 4, 19, 5, 6, 4, 8)"
3,6,"(14, 13, 8, 0, 12)","(8, 7, 15, 15, 1)"
3,7,"(6, 18, 1, 15)","(4, 20, 20, 2)"
3,8,"(11, 0, 17, 6, 9, 10, 5)","(2, 6, 19, 18, 13, 18, 1)"
4,0,"(10, 5, 12, 15, 11, 17, 1, 13, 0, 2, 18, 3, 14, 19, 9, 7, 16, 8, 6, 4)","(5, 7, 5, 13, 12, 15, 5, 2, 9, 20, 16, 10, 7, 6, 5, 7, 15, 18, 14, 16)"
