seq,compact_machine_id,compact_machine_label,type,op,start,end,duration,original_machine_id,original_machine_label,original_type,changeover_time_feature
1,1,M1,1,1,12.0,87.0,75.0,1,M1,1,0.0
2,1,M1,1,1,87.0,162.0,75.0,1,M1,1,7.0
3,1,M1,1,1,162.0,237.0,75.0,1,M1,1,7.0
4,1,M1,1,1,237.0,312.0,75.0,1,M1,1,7.0
5,1,M1,1,4,312.0,387.0,75.0,1,M1,1,7.0
6,1,M1,1,1,387.0,462.0,75.0,1,M1,1,7.0
7,1,M1,0,4,462.0,553.0,91.0,1,M1,0,7.0
8,1,M1,1,1,553.0,628.0,75.0,1,M1,1,6.0
9,1,M1,0,4,628.0,719.0,91.0,1,M1,0,7.0
10,1,M1,1,4,719.0,794.0,75.0,1,M1,1,6.0
11,1,M1,1,4,794.0,869.0,75.0,1,M1,1,7.0
12,1,M1,1,4,869.0,944.0,75.0,1,M1,1,7.0
13,2,M2,1,7,495.0,652.0,157.0,2,M2,1,0.0
14,2,M2,1,7,652.0,809.0,157.0,2,M2,1,19.0
15,2,M2,1,7,1010.0,1167.0,157.0,2,M2,1,19.0
16,3,M3,1,6,437.0,495.0,58.0,3,M3,1,0.0
17,3,M3,1,6,495.0,553.0,58.0,3,M3,1,0.0
18,3,M3,1,6,587.0,645.0,58.0,3,M3,1,0.0
19,3,M3,1,6,710.0,768.0,58.0,3,M3,1,0.0
20,3,M3,1,6,832.0,890.0,58.0,3,M3,1,0.0
21,3,M3,1,6,890.0,948.0,58.0,3,M3,1,0.0
22,3,M3,1,6,952.0,1010.0,58.0,3,M3,1,0.0
23,3,M3,1,6,1010.0,1068.0,58.0,3,M3,1,0.0
24,3,M3,1,6,1068.0,1126.0,58.0,3,M3,1,0.0
25,4,M4,0,7,573.0,732.0,159.0,4,M4,0,0.0
26,4,M4,0,7,732.0,891.0,159.0,4,M4,0,13.0
27,4,M4,0,7,911.0,1070.0,159.0,4,M4,0,13.0
28,5,M5,0,4,240.0,396.0,156.0,5,M5,0,0.0
29,5,M5,0,4,396.0,552.0,156.0,5,M5,0,12.0
30,5,M5,0,4,552.0,708.0,156.0,5,M5,0,12.0
31,5,M5,1,7,768.0,924.0,156.0,5,M5,1,6.0
32,5,M5,1,7,948.0,1104.0,156.0,5,M5,1,11.0
33,5,M5,1,7,1126.0,1282.0,156.0,5,M5,1,11.0
34,6,M6,0,0,0.0,74.0,74.0,6,M6,0,0.0
35,6,M6,0,0,74.0,148.0,74.0,6,M6,0,2.0
36,6,M6,0,0,148.0,222.0,74.0,6,M6,0,2.0
